https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
1777161600000,2026-04-26,AAVEUSDT,94.14,97.78,93.07,96.53,144530.069,13830936.08203,122318
1777075200000,2026-04-25,AAVEUSDT,94.31,96.39,93.15,94.13,150944.999,14330605.79971,101150
1776988800000,2026-04-24,AAVEUSDT,94.32,96.81,92.44,94.31,244910.768,23137881.83158,187866
1776902400000,2026-04-23,AAVEUSDT,93.97,95.35,90.91,94.32,224309.112,20845713.82501,184231
1776816000000,2026-04-22,AAVEUSDT,91.89,96.34,91.5,93.96,241303.722,22643345.7917,205870
1776729600000,2026-04-21,AAVEUSDT,90.65,95.65,89.96,91.88,359674.716,33292562.93577,273343
1776643200000,2026-04-20,AAVEUSDT,90.29,94.99,86.34,90.65,566381.152,51562567.13356,365325
1776556800000,2026-04-19,AAVEUSDT,101.16,101.28,88.7,90.28,737915.033,68992336.42614,617193
1776470400000,2026-04-18,AAVEUSDT,114.86,116.08,99.22,101.15,374109.686,39987962.65687,491984
1776384000000,2026-04-17,AAVEUSDT,115.46,118.87,111.5,114.86,211903.14,24486701.09351,248866
1776297600000,2026-04-16,AAVEUSDT,105.53,117.57,103.16,115.46,279069.312,30654239.33501,308236
1776038400000,2026-04-13,AAVEUSDT,89.85,103.73,89.68,103.26,258368.769,24903975.89764,217794
1775952000000,2026-04-12,AAVEUSDT,94.51,94.74,88.73,89.84,101800.62,9204195.18438,97000
1775865600000,2026-04-11,AAVEUSDT,93.62,96.64,90.94,94.52,93184.015,8703738.03909,93096
1775779200000,2026-04-10,AAVEUSDT,90.57,95.47,89.19,93.62,92598.166,8492914.39305,98502
1775692800000,2026-04-09,AAVEUSDT,91.95,93.26,89.4,90.58,103116.889,9380505.45395,98347
1775606400000,2026-04-08,AAVEUSDT,95.8,96.44,91.4,91.96,117039.04,11058011.73342,103120
1775520000000,2026-04-07,AAVEUSDT,92.99,97.13,85.05,95.79,270018.68,24167191.30805,202823
1775433600000,2026-04-06,AAVEUSDT,94.15,98.05,92.59,93.0,90990.993,8716611.04397,104470
1775347200000,2026-04-05,AAVEUSDT,94.49,94.77,90.64,94.14,73049.836,6728835.05924,60357
1775260800000,2026-04-04,AAVEUSDT,94.8,95.52,94.24,94.48,19038.659,1804432.65113,25673
1775174400000,2026-04-03,AAVEUSDT,94.36,96.18,93.92,94.81,27250.267,2588184.46014,43642
1775088000000,2026-04-02,AAVEUSDT,98.11,99.03,92.36,94.35,68744.053,6510196.44671,92565
1775001600000,2026-04-01,AAVEUSDT,98.21,101.17,97.0,98.1,73734.803,7327630.60241,89724
1774915200000,2026-03-31,AAVEUSDT,96.87,99.35,95.4,98.2,58338.605,5684633.47992,101439
1774828800000,2026-03-30,AAVEUSDT,95.43,100.0,95.25,96.86,71611.033,7021331.34237,102233
1774742400000,2026-03-29,AAVEUSDT,96.83,98.0,92.74,95.43,48628.336,4652083.50184,73662
1774656000000,2026-03-28,AAVEUSDT,98.71,98.73,96.22,96.83,71290.832,6951039.75361,78766
1774569600000,2026-03-27,AAVEUSDT,105.22,106.74,97.67,98.71,80673.781,8224949.08734,98502
1774483200000,2026-03-26,AAVEUSDT,112.59,112.8,104.0,105.22,95146.986,10159906.07715,105495
1774310400000,2026-03-24,AAVEUSDT,110.3,112.53,107.95,112.31,66511.921,7320346.19541,105349
1774224000000,2026-03-23,AAVEUSDT,106.33,112.23,104.61,110.3,101002.405,11059354.164,145207
1773878400000,2026-03-19,AAVEUSDT,115.31,119.13,110.71,111.63,83417.761,9486671.51093,117169
1773792000000,2026-03-18,AAVEUSDT,119.66,122.16,112.57,115.31,88113.667,10241497.94596,126148
1773705600000,2026-03-17,AAVEUSDT,122.34,123.65,119.42,119.67,87515.235,10642390.49597,132007
1773619200000,2026-03-16,AAVEUSDT,116.36,125.0,115.9,122.33,144190.085,17371953.70458,179977
1773532800000,2026-03-15,AAVEUSDT,111.18,117.89,109.94,116.36,73056.497,8330785.64545,110904
1773446400000,2026-03-14,AAVEUSDT,112.31,113.43,109.83,111.17,59833.545,6671657.53789,86110
1773360000000,2026-03-13,AAVEUSDT,111.63,119.18,111.17,112.28,141949.774,16294038.41507,194923
1773273600000,2026-03-12,AAVEUSDT,110.3,112.92,107.0,111.66,105914.736,11625904.75756,134322
1773187200000,2026-03-11,AAVEUSDT,111.73,114.03,108.9,110.3,72940.195,8107232.96635,126853
1773100800000,2026-03-10,AAVEUSDT,106.68,114.81,106.46,111.73,125049.065,13932350.22647,183683
1773014400000,2026-03-09,AAVEUSDT,105.55,109.35,104.91,106.71,114668.251,12283390.6762,167726
1772928000000,2026-03-08,AAVEUSDT,108.8,109.6,103.82,105.53,61790.83,6611408.69691,107071
1772841600000,2026-03-07,AAVEUSDT,110.98,111.47,108.21,108.79,33102.138,3636663.97158,53853
1772755200000,2026-03-06,AAVEUSDT,116.82,118.6,109.29,110.98,110532.305,12588811.99374,157003
1772668800000,2026-03-05,AAVEUSDT,115.88,119.89,114.0,116.82,161022.339,18817415.13293,222451
1772582400000,2026-03-04,AAVEUSDT,111.16,118.91,109.3,115.86,229307.283,26265538.39495,322664
1772496000000,2026-03-03,AAVEUSDT,122.2,123.01,107.9,111.16,245780.564,27544815.38547,294373
1772409600000,2026-03-02,AAVEUSDT,113.64,126.96,112.22,122.21,165097.77,19705408.64455,283596
1772323200000,2026-03-01,AAVEUSDT,111.94,118.71,110.63,113.68,157095.356,17958421.28166,232182
1772236800000,2026-02-28,AAVEUSDT,112.98,113.69,104.7,111.94,109578.822,11906452.03074,191479
1772150400000,2026-02-27,AAVEUSDT,114.56,121.62,110.22,112.99,169386.899,19727197.58873,202582
1772064000000,2026-02-26,AAVEUSDT,119.15,120.62,110.64,114.55,230307.128,26440496.92813,242870
1771977600000,2026-02-25,AAVEUSDT,114.38,124.34,113.9,119.15,181692.164,21746842.31469,201691
1771891200000,2026-02-24,AAVEUSDT,114.63,116.53,111.54,114.39,114065.258,13003869.94502,133235
1771804800000,2026-02-23,AAVEUSDT,117.96,119.8,111.3,114.62,146246.356,16823118.0426,169075
1771718400000,2026-02-22,AAVEUSDT,121.5,121.6,117.09,117.95,69505.145,8275084.38478,66535
1771632000000,2026-02-21,AAVEUSDT,115.94,124.99,114.64,121.49,110141.669,13290396.15856,125692
1771545600000,2026-02-20,AAVEUSDT,124.84,126.93,114.6,115.94,183113.257,21760526.63698,242710
1771459200000,2026-02-19,AAVEUSDT,122.98,125.16,119.94,124.84,61060.518,7479059.42613,114908
1771372800000,2026-02-18,AAVEUSDT,126.6,129.31,120.82,122.98,161543.626,20427139.54126,204354
1771286400000,2026-02-17,AAVEUSDT,127.04,130.77,123.83,126.59,70975.347,8987151.69836,146434
1771200000000,2026-02-16,AAVEUSDT,125.8,129.36,123.21,127.04,50640.346,6391507.37272,117607
1771113600000,2026-02-15,AAVEUSDT,128.27,131.98,122.61,125.81,97292.259,12389916.53049,174422
1771027200000,2026-02-14,AAVEUSDT,118.89,130.96,118.42,128.27,115640.838,14623853.21653,163037
1770940800000,2026-02-13,AAVEUSDT,114.98,120.57,109.73,118.88,105696.879,12177286.17859,180108
1770854400000,2026-02-12,AAVEUSDT,107.55,115.61,105.61,114.98,157628.676,17370399.99578,239548
1770768000000,2026-02-11,AAVEUSDT,109.43,114.0,104.7,107.54,121183.011,13115456.63364,221887
1770681600000,2026-02-10,AAVEUSDT,112.71,113.22,107.91,109.44,118090.404,12976785.61187,158230
1770595200000,2026-02-09,AAVEUSDT,112.51,115.17,108.95,112.7,90183.685,10161075.42067,172526
1770508800000,2026-02-08,AAVEUSDT,113.98,115.21,111.02,112.52,68699.048,7791358.14069,130602
