https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1777161600000,2026-04-26,ATOMUSDT,2.029,2.036,1.996,2.0,726471.71,1464121.92254,11121
1777075200000,2026-04-25,ATOMUSDT,1.993,2.058,1.991,2.03,1184838.2,2403149.72713,19269
1776988800000,2026-04-24,ATOMUSDT,1.912,1.998,1.909,1.993,1428674.27,2795260.65207,20047
1776902400000,2026-04-23,ATOMUSDT,1.862,1.916,1.837,1.912,979283.51,1830512.44411,12015
1776816000000,2026-04-22,ATOMUSDT,1.845,1.919,1.845,1.862,1486034.71,2803842.83988,19853
1776729600000,2026-04-21,ATOMUSDT,1.8,1.846,1.763,1.845,1342341.84,2424084.32264,20206
1776643200000,2026-04-20,ATOMUSDT,1.759,1.818,1.758,1.8,710917.44,1272427.04276,9901
1776556800000,2026-04-19,ATOMUSDT,1.783,1.801,1.754,1.758,945300.29,1680027.93064,11140
1776470400000,2026-04-18,ATOMUSDT,1.832,1.85,1.775,1.783,651759.53,1181062.28002,8308
1776384000000,2026-04-17,ATOMUSDT,1.809,1.867,1.785,1.833,1371725.16,2504099.39933,15362
1776297600000,2026-04-16,ATOMUSDT,1.767,1.824,1.756,1.81,1396455.01,2506732.05218,17104
1776038400000,2026-04-13,ATOMUSDT,1.723,1.788,1.709,1.779,1260133.58,2191866.07543,14047
1775952000000,2026-04-12,ATOMUSDT,1.778,1.787,1.719,1.723,593280.08,1033164.4299,9014
1775865600000,2026-04-11,ATOMUSDT,1.807,1.808,1.766,1.778,605131.45,1078854.36612,9438
1775779200000,2026-04-10,ATOMUSDT,1.802,1.845,1.793,1.806,1170514.96,2134470.72809,16479
1775692800000,2026-04-09,ATOMUSDT,1.78,1.828,1.762,1.801,1372816.23,2465789.3546,16517
1775606400000,2026-04-08,ATOMUSDT,1.806,1.809,1.751,1.779,1173007.94,2097669.02331,14932
1775520000000,2026-04-07,ATOMUSDT,1.702,1.809,1.674,1.807,1421880.08,2432074.26772,15218
1775433600000,2026-04-06,ATOMUSDT,1.698,1.758,1.692,1.703,1674122.34,2888761.65855,15270
1775347200000,2026-04-05,ATOMUSDT,1.713,1.725,1.666,1.698,677521.31,1144687.33158,7491
1775260800000,2026-04-04,ATOMUSDT,1.688,1.721,1.681,1.713,486184.61,827267.99154,6115
1775174400000,2026-04-03,ATOMUSDT,1.668,1.729,1.665,1.688,846322.78,1441815.17472,12207
1775088000000,2026-04-02,ATOMUSDT,1.677,1.689,1.614,1.668,804945.99,1321310.39307,10064
1775001600000,2026-04-01,ATOMUSDT,1.707,1.741,1.671,1.676,1199671.61,2048860.68033,15945
1774915200000,2026-03-31,ATOMUSDT,1.667,1.713,1.664,1.707,1085332.95,1832152.15098,11393
1774828800000,2026-03-30,ATOMUSDT,1.647,1.701,1.641,1.665,1181191.93,1975680.3853,10331
1774742400000,2026-03-29,ATOMUSDT,1.667,1.672,1.607,1.646,931092.5,1530846.07917,11494
1774656000000,2026-03-28,ATOMUSDT,1.676,1.702,1.657,1.666,913233.21,1534663.33304,8613
1774569600000,2026-03-27,ATOMUSDT,1.698,1.731,1.655,1.676,1209660.16,2040204.26465,14044
1774483200000,2026-03-26,ATOMUSDT,1.765,1.767,1.673,1.699,1456631.98,2494961.37448,14471
1774310400000,2026-03-24,ATOMUSDT,1.786,1.797,1.762,1.787,1349592.94,2402436.48394,15384
1774224000000,2026-03-23,ATOMUSDT,1.77,1.843,1.75,1.786,2095644.14,3741152.32729,27904
1773878400000,2026-03-19,ATOMUSDT,1.909,1.929,1.799,1.811,1673215.64,3086420.39365,17509
1773792000000,2026-03-18,ATOMUSDT,1.961,2.035,1.868,1.909,1959248.7,3844158.49304,23536
1773705600000,2026-03-17,ATOMUSDT,1.978,1.985,1.926,1.961,1200005.03,2343074.2818,13590
1773619200000,2026-03-16,ATOMUSDT,1.861,2.006,1.856,1.978,2020095.37,3909272.37061,25158
1773532800000,2026-03-15,ATOMUSDT,1.869,1.873,1.842,1.861,686685.94,1275584.7215,8160
1773446400000,2026-03-14,ATOMUSDT,1.861,1.893,1.851,1.87,849985.15,1591165.09767,11475
1773360000000,2026-03-13,ATOMUSDT,1.838,1.898,1.833,1.862,1595669.94,2975956.92492,17490
1773273600000,2026-03-12,ATOMUSDT,1.841,1.846,1.807,1.838,1019499.61,1863572.90015,14647
1773187200000,2026-03-11,ATOMUSDT,1.789,1.856,1.785,1.84,1138571.21,2075755.23215,16227
1773100800000,2026-03-10,ATOMUSDT,1.744,1.844,1.743,1.788,1540286.5,2763166.28278,15188
1773014400000,2026-03-09,ATOMUSDT,1.738,1.778,1.706,1.743,1411291.18,2461704.3637,15017
1772928000000,2026-03-08,ATOMUSDT,1.786,1.787,1.716,1.738,1071463.94,1875888.82239,13727
1772841600000,2026-03-07,ATOMUSDT,1.81,1.832,1.778,1.785,958208.82,1732931.2879,14187
1772755200000,2026-03-06,ATOMUSDT,1.839,1.855,1.773,1.809,1110325.18,2016503.90509,14845
1772668800000,2026-03-05,ATOMUSDT,1.879,1.894,1.824,1.84,1338080.0,2496937.3708,17281
1772582400000,2026-03-04,ATOMUSDT,1.815,1.927,1.806,1.879,2116812.45,3961951.0397,25772
1772496000000,2026-03-03,ATOMUSDT,1.843,1.856,1.765,1.814,2451285.16,4428110.03177,26072
1772409600000,2026-03-02,ATOMUSDT,1.799,1.881,1.783,1.843,1971903.32,3607941.75121,25443
1772323200000,2026-03-01,ATOMUSDT,1.848,1.885,1.763,1.799,1628549.29,2977479.32399,21847
