https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume USDT,tradecount
1777161600000,2026-04-26,AXSUSDT,1.579,1.586,1.361,1.42,10958536.57,15802906.69262,100160
1777075200000,2026-04-25,AXSUSDT,1.134,1.785,1.125,1.578,56514691.92,86658247.3834,463997
1776988800000,2026-04-24,AXSUSDT,1.105,1.14,1.091,1.134,1830684.54,2046119.20157,10375
1776902400000,2026-04-23,AXSUSDT,1.102,1.116,1.086,1.104,1363352.8,1497337.63756,8755
1776816000000,2026-04-22,AXSUSDT,1.106,1.14,1.097,1.102,1824272.52,2043917.7776,10042
1776729600000,2026-04-21,AXSUSDT,1.106,1.114,1.087,1.105,1551196.14,1708061.74739,9499
1776643200000,2026-04-20,AXSUSDT,1.088,1.124,1.087,1.107,1539274.32,1698299.36702,9958
1776556800000,2026-04-19,AXSUSDT,1.123,1.128,1.081,1.088,1930732.71,2132092.76274,14443
1776470400000,2026-04-18,AXSUSDT,1.184,1.237,1.118,1.123,3343135.3,3933076.33873,23069
1776384000000,2026-04-17,AXSUSDT,1.185,1.223,1.149,1.185,2362869.85,2802643.06641,17441
1776297600000,2026-04-16,AXSUSDT,1.131,1.192,1.124,1.186,2093668.27,2417057.51424,15478
1776038400000,2026-04-13,AXSUSDT,1.076,1.133,1.059,1.124,1668412.83,1811073.2307,13856
1775952000000,2026-04-12,AXSUSDT,1.123,1.133,1.066,1.076,1463057.82,1596519.02223,11391
1775865600000,2026-04-11,AXSUSDT,1.133,1.14,1.107,1.122,768366.57,862642.1585,6768
1775779200000,2026-04-10,AXSUSDT,1.132,1.147,1.109,1.132,1675497.98,1891996.6187,13411
1775692800000,2026-04-09,AXSUSDT,1.094,1.155,1.088,1.131,1729015.2,1932103.79495,13127
1775606400000,2026-04-08,AXSUSDT,1.149,1.163,1.092,1.094,1886790.24,2139540.65536,14976
1775520000000,2026-04-07,AXSUSDT,1.102,1.157,1.075,1.148,1802410.38,2001812.5146,12816
1775433600000,2026-04-06,AXSUSDT,1.106,1.143,1.096,1.103,1156039.62,1295132.05075,9012
1775347200000,2026-04-05,AXSUSDT,1.125,1.127,1.077,1.105,874400.55,956907.33617,6918
1775260800000,2026-04-04,AXSUSDT,1.117,1.13,1.094,1.124,727139.55,808209.73643,6087
1775174400000,2026-04-03,AXSUSDT,1.109,1.15,1.108,1.116,1900795.47,2141484.09887,15985
1775088000000,2026-04-02,AXSUSDT,1.132,1.14,1.058,1.108,2201668.08,2406461.34121,19197
1775001600000,2026-04-01,AXSUSDT,1.129,1.169,1.127,1.132,1902148.19,2184858.21918,14945
1774915200000,2026-03-31,AXSUSDT,1.122,1.136,1.093,1.128,985658.69,1095770.38901,8743
1774828800000,2026-03-30,AXSUSDT,1.119,1.164,1.112,1.122,1143626.04,1302950.4803,10646
1774742400000,2026-03-29,AXSUSDT,1.149,1.155,1.092,1.118,1068280.45,1207609.66872,9740
1774656000000,2026-03-28,AXSUSDT,1.114,1.19,1.091,1.148,3266257.3,3761846.48949,30801
1774569600000,2026-03-27,AXSUSDT,1.116,1.166,1.087,1.113,2755112.83,3096448.82348,20743
1774483200000,2026-03-26,AXSUSDT,1.128,1.188,1.051,1.116,3813946.11,4283322.53503,29879
1774310400000,2026-03-24,AXSUSDT,1.115,1.152,1.096,1.122,1401469.07,1571294.48141,10106
1774224000000,2026-03-23,AXSUSDT,1.088,1.141,1.035,1.114,2088879.82,2282578.21635,15562
1773878400000,2026-03-19,AXSUSDT,1.196,1.241,1.161,1.201,3105863.18,3716163.09578,22175
1773792000000,2026-03-18,AXSUSDT,1.232,1.344,1.185,1.196,4553546.39,5709448.51492,32459
1773705600000,2026-03-17,AXSUSDT,1.28,1.302,1.218,1.231,2418692.61,3018926.63216,19063
1773619200000,2026-03-16,AXSUSDT,1.246,1.301,1.21,1.28,3005450.97,3733423.05326,24117
1773532800000,2026-03-15,AXSUSDT,1.24,1.302,1.205,1.246,4727020.03,5908193.05025,35223
1773446400000,2026-03-14,AXSUSDT,1.155,1.316,1.148,1.241,13056671.51,16264778.34929,82112
1773360000000,2026-03-13,AXSUSDT,1.137,1.178,1.132,1.156,1515242.24,1753284.47285,12241
1773273600000,2026-03-12,AXSUSDT,1.128,1.144,1.096,1.136,1669718.3,1874024.87357,16226
1773187200000,2026-03-11,AXSUSDT,1.123,1.188,1.102,1.127,3115435.86,3570150.29969,20904
1773100800000,2026-03-10,AXSUSDT,1.109,1.193,1.099,1.123,2260165.69,2557644.7397,13712
1773014400000,2026-03-09,AXSUSDT,1.113,1.142,1.104,1.109,1464655.02,1644441.36507,10536
1772928000000,2026-03-08,AXSUSDT,1.111,1.149,1.09,1.113,1128728.81,1265971.18748,8703
1772841600000,2026-03-07,AXSUSDT,1.156,1.164,1.098,1.111,1085707.15,1223551.65148,7691
1772755200000,2026-03-06,AXSUSDT,1.214,1.228,1.144,1.156,1987446.47,2361341.18795,14265
1772668800000,2026-03-05,AXSUSDT,1.222,1.227,1.17,1.216,2480618.61,2984018.64757,20328
1772582400000,2026-03-04,AXSUSDT,1.218,1.265,1.172,1.223,2657471.56,3239143.91436,18476
1772496000000,2026-03-03,AXSUSDT,1.253,1.262,1.197,1.218,2142525.13,2627227.33275,16756
1772409600000,2026-03-02,AXSUSDT,1.265,1.319,1.242,1.253,2026417.09,2590130.34189,13872
1772323200000,2026-03-01,AXSUSDT,1.318,1.356,1.233,1.264,2192846.9,2856275.28223,18683
1772236800000,2026-02-28,AXSUSDT,1.3,1.333,1.216,1.318,2728382.89,3449165.54798,21936
1772150400000,2026-02-27,AXSUSDT,1.358,1.421,1.274,1.301,3551457.81,4833953.56095,28136
1772064000000,2026-02-26,AXSUSDT,1.388,1.388,1.317,1.359,2696540.04,3650888.19144,20932
1771977600000,2026-02-25,AXSUSDT,1.257,1.47,1.244,1.388,5925741.4,8030964.77843,46348
1771891200000,2026-02-24,AXSUSDT,1.231,1.262,1.189,1.258,2067905.28,2534594.03716,18320
1771804800000,2026-02-23,AXSUSDT,1.308,1.308,1.208,1.231,2166195.77,2677894.37572,18040
1771718400000,2026-02-22,AXSUSDT,1.339,1.371,1.277,1.308,1939750.68,2565798.69472,18123
1771632000000,2026-02-21,AXSUSDT,1.344,1.428,1.3,1.34,4186482.21,5687167.72864,39092
1771545600000,2026-02-20,AXSUSDT,1.272,1.385,1.254,1.344,6007552.96,7950694.68796,42061
1771459200000,2026-02-19,AXSUSDT,1.295,1.295,1.204,1.272,2276697.62,2821011.91803,15952
1771372800000,2026-02-18,AXSUSDT,1.369,1.369,1.271,1.295,1338165.69,1770159.31226,9843
1771286400000,2026-02-17,AXSUSDT,1.372,1.419,1.323,1.37,2319558.65,3184507.24122,18273
1771200000000,2026-02-16,AXSUSDT,1.405,1.406,1.342,1.373,1718410.95,2348523.73896,15743
1771113600000,2026-02-15,AXSUSDT,1.509,1.515,1.377,1.405,2866175.16,4104250.93292,22967
1771027200000,2026-02-14,AXSUSDT,1.409,1.56,1.404,1.509,5924770.02,8846055.92915,47104
1770940800000,2026-02-13,AXSUSDT,1.416,1.418,1.325,1.41,3603966.81,4931254.76728,29319
1770854400000,2026-02-12,AXSUSDT,1.547,1.548,1.368,1.417,3983143.62,5738382.51641,29516
1770768000000,2026-02-11,AXSUSDT,1.573,1.632,1.454,1.547,7306107.8,11163438.81907,60242
1770681600000,2026-02-10,AXSUSDT,1.479,1.654,1.44,1.574,18935177.03,29141814.85779,128555
1770595200000,2026-02-09,AXSUSDT,1.263,1.595,1.253,1.481,20090441.15,29437074.61495,146156
1770508800000,2026-02-08,AXSUSDT,1.329,1.329,1.249,1.264,2369982.65,3054924.33378,24820
1770422400000,2026-02-07,AXSUSDT,1.375,1.414,1.276,1.327,4118246.48,5544930.62378,47891
1770336000000,2026-02-06,AXSUSDT,1.3,1.465,1.165,1.375,6755411.05,8921164.83927,71065
1770249600000,2026-02-05,AXSUSDT,1.527,1.685,1.286,1.299,8512439.69,12638904.53914,93994
1770163200000,2026-02-04,AXSUSDT,1.615,1.633,1.497,1.526,4014384.87,6283151.13438,51706
1770076800000,2026-02-03,AXSUSDT,1.692,1.708,1.502,1.616,8961459.38,14188013.73948,90855
1769990400000,2026-02-02,AXSUSDT,1.731,1.798,1.625,1.691,7629902.12,12997400.91462,87536
1769904000000,2026-02-01,AXSUSDT,1.818,1.912,1.646,1.731,12054213.9,21279702.52991,129169
1769817600000,2026-01-31,AXSUSDT,2.081,2.081,1.75,1.818,9950551.27,18781310.4107,129860
1769731200000,2026-01-30,AXSUSDT,2.277,2.294,2.062,2.083,6130267.88,13149910.41419,89534
1769644800000,2026-01-29,AXSUSDT,2.284,2.415,2.064,2.279,11789270.93,25952728.4845,162587
1769558400000,2026-01-28,AXSUSDT,2.641,2.692,2.263,2.285,11805421.81,28548907.39609,168760
1769472000000,2026-01-27,AXSUSDT,2.497,2.761,2.343,2.641,18696777.96,48216417.26979,301796
1769385600000,2026-01-26,AXSUSDT,2.049,2.569,1.883,2.497,29754887.27,68574008.39385,435330
1769299200000,2026-01-25,AXSUSDT,2.633,2.643,1.987,2.049,16970666.22,38187910.33118,231458
1769212800000,2026-01-24,AXSUSDT,2.935,2.997,2.527,2.634,12996910.45,35929108.11128,220769
1769126400000,2026-01-23,AXSUSDT,2.678,2.988,2.496,2.936,18909535.53,52994135.5491,301825
1769040000000,2026-01-22,AXSUSDT,2.369,2.744,2.356,2.678,19844309.24,50551218.20022,254514
1768953600000,2026-01-21,AXSUSDT,2.104,2.55,2.038,2.37,29805178.79,69562741.04254,321706
1768780800000,2026-01-19,AXSUSDT,1.887,1.997,1.639,1.651,14286836.2,25674289.48526,162123
1768694400000,2026-01-18,AXSUSDT,1.978,2.207,1.793,1.887,31058137.9,62175765.42571,317200
1768608000000,2026-01-17,AXSUSDT,1.322,2.26,1.292,1.979,53583213.43,100047737.59118,400728
1768521600000,2026-01-16,AXSUSDT,1.085,1.335,1.067,1.324,13532459.27,16609985.02335,81871
1768435200000,2026-01-15,AXSUSDT,1.225,1.233,1.055,1.086,5780991.89,6444468.61577,37519
