https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USDT,tradecount
1777161600000,2026-04-26,BCHUSDT,453.1,456.3,450.3,454.9,7114.758,3223401.6968,24651
1777075200000,2026-04-25,BCHUSDT,456.2,456.5,452.1,453.0,4766.45,2164388.0622,18069
1776988800000,2026-04-24,BCHUSDT,460.9,461.7,454.5,456.2,9324.242,4267079.415,31383
1776902400000,2026-04-23,BCHUSDT,460.3,461.0,452.5,460.8,18193.907,8306179.9732,51215
1776816000000,2026-04-22,BCHUSDT,448.6,474.0,447.5,460.3,30013.685,13926418.0837,100362
1776729600000,2026-04-21,BCHUSDT,443.6,449.7,440.5,448.5,12511.708,5564854.8557,41501
1776643200000,2026-04-20,BCHUSDT,435.3,446.4,435.2,443.6,8005.93,3536142.8004,28355
1776556800000,2026-04-19,BCHUSDT,443.6,446.2,433.9,435.1,9877.988,4353422.4989,38971
1776470400000,2026-04-18,BCHUSDT,453.4,456.1,443.3,443.5,9480.008,4247029.9491,33047
1776384000000,2026-04-17,BCHUSDT,454.8,461.8,446.6,453.4,18935.659,8594199.3625,57727
1776297600000,2026-04-16,BCHUSDT,440.8,457.5,434.1,454.9,18450.396,8189785.6898,49966
1776038400000,2026-04-13,BCHUSDT,421.2,440.6,421.1,438.2,15504.761,6674902.9709,42678
1775952000000,2026-04-12,BCHUSDT,437.6,438.0,419.5,421.3,25425.501,10840255.8156,71500
1775865600000,2026-04-11,BCHUSDT,443.7,445.3,436.6,437.7,8778.886,3864953.6463,28838
1775779200000,2026-04-10,BCHUSDT,443.2,446.8,434.3,443.8,13141.794,5818116.6897,35939
1775692800000,2026-04-09,BCHUSDT,441.3,446.9,433.0,443.1,19468.639,8574536.6104,55457
1775606400000,2026-04-08,BCHUSDT,446.0,449.9,440.1,441.3,18131.002,8068596.0103,54261
1775520000000,2026-04-07,BCHUSDT,435.0,448.4,429.9,445.9,17971.893,7846461.3317,53641
1775433600000,2026-04-06,BCHUSDT,428.7,440.6,428.7,435.1,17547.854,7647949.5896,52256
1775347200000,2026-04-05,BCHUSDT,441.1,442.5,420.4,428.6,23521.355,10089245.4183,65369
1775260800000,2026-04-04,BCHUSDT,443.0,445.1,440.9,441.2,6996.991,3096840.4218,25563
1775174400000,2026-04-03,BCHUSDT,444.2,446.7,439.6,443.0,8808.812,3902861.2878,34434
1775088000000,2026-04-02,BCHUSDT,455.1,455.8,439.4,444.3,23884.47,10641804.7079,75555
1775001600000,2026-04-01,BCHUSDT,466.5,466.6,453.7,455.1,37116.947,17096688.2174,99537
1774915200000,2026-03-31,BCHUSDT,460.3,477.9,460.0,466.5,39604.712,18529557.0277,121068
1774828800000,2026-03-30,BCHUSDT,452.7,467.4,450.6,460.3,33395.922,15276944.1297,113498
1774742400000,2026-03-29,BCHUSDT,481.2,484.8,446.9,452.7,93699.265,43632044.0705,183005
1774656000000,2026-03-28,BCHUSDT,472.9,484.2,470.8,481.2,25019.844,11978997.5238,96901
1774569600000,2026-03-27,BCHUSDT,462.0,475.0,458.2,472.9,57189.175,26712064.1688,173829
1774483200000,2026-03-26,BCHUSDT,473.6,474.1,458.7,461.9,18277.488,8502918.1759,66631
1774310400000,2026-03-24,BCHUSDT,478.1,480.2,468.6,477.4,23114.362,10957494.7406,79991
1774224000000,2026-03-23,BCHUSDT,467.4,486.3,462.6,478.0,26604.513,12656002.4322,92466
1773878400000,2026-03-19,BCHUSDT,456.9,460.7,449.7,455.6,18252.727,8324066.2825,58903
1773792000000,2026-03-18,BCHUSDT,470.7,472.6,446.5,456.9,18368.338,8427136.0029,60565
1773705600000,2026-03-17,BCHUSDT,478.8,481.2,470.2,470.7,13922.653,6614755.7384,50248
1773619200000,2026-03-16,BCHUSDT,469.6,483.8,465.1,478.8,25463.505,12079137.3003,80462
1773532800000,2026-03-15,BCHUSDT,467.6,470.7,459.8,469.7,17886.861,8321276.3167,55446
1773446400000,2026-03-14,BCHUSDT,460.9,468.5,454.3,467.6,16336.77,7524857.9452,49871
1773360000000,2026-03-13,BCHUSDT,455.2,475.6,454.8,461.0,39232.293,18330367.6484,137007
1773273600000,2026-03-12,BCHUSDT,455.1,461.5,451.6,455.2,11218.469,5115863.4259,47270
1773187200000,2026-03-11,BCHUSDT,447.0,461.2,445.7,455.1,19453.148,8829169.5828,71879
1773100800000,2026-03-10,BCHUSDT,444.5,454.3,442.6,447.1,27205.973,12194532.4171,97065
1773014400000,2026-03-09,BCHUSDT,443.0,456.9,442.9,444.6,23746.392,10673104.5055,88851
1772928000000,2026-03-08,BCHUSDT,450.2,455.4,440.4,443.1,14209.03,6360631.9267,55950
1772841600000,2026-03-07,BCHUSDT,449.6,454.1,445.7,450.2,13844.826,6229011.1606,43492
1772755200000,2026-03-06,BCHUSDT,461.5,463.3,442.2,449.7,21438.593,9696725.7129,73265
1772668800000,2026-03-05,BCHUSDT,466.8,467.8,454.3,461.6,30348.687,13973864.3099,88235
1772582400000,2026-03-04,BCHUSDT,443.9,476.8,439.0,466.9,44261.326,20302617.8828,155919
1772496000000,2026-03-03,BCHUSDT,445.4,450.1,432.2,443.9,24297.435,10713255.5307,89520
1772409600000,2026-03-02,BCHUSDT,441.7,454.4,436.1,445.3,35460.97,15776024.3428,118524
1772323200000,2026-03-01,BCHUSDT,457.6,466.9,432.0,441.7,28623.582,12801814.7755,106878
1772236800000,2026-02-28,BCHUSDT,461.4,468.4,439.6,457.6,42894.538,19307722.9226,156794
1772150400000,2026-02-27,BCHUSDT,478.4,491.1,455.1,461.5,32169.414,15206128.9577,97883
1772064000000,2026-02-26,BCHUSDT,492.8,505.8,476.6,478.4,29976.65,14797540.2219,112831
1771977600000,2026-02-25,BCHUSDT,484.8,520.3,483.9,492.9,53756.738,27106540.638,186010
1771891200000,2026-02-24,BCHUSDT,495.7,499.1,470.8,484.8,72609.414,35096816.8909,214259
1771804800000,2026-02-23,BCHUSDT,570.8,570.8,487.3,495.8,76023.825,40011360.1927,218483
1771718400000,2026-02-22,BCHUSDT,564.1,586.2,559.0,570.7,50444.272,28937362.6537,137812
1771632000000,2026-02-21,BCHUSDT,562.5,577.0,558.5,564.1,19789.479,11233561.8527,66431
1771545600000,2026-02-20,BCHUSDT,560.2,570.7,540.8,562.4,66675.695,36985972.8309,170980
1771459200000,2026-02-19,BCHUSDT,557.9,564.9,538.7,560.4,29747.781,16431836.1189,114004
1771372800000,2026-02-18,BCHUSDT,563.5,570.2,550.6,558.0,21799.75,12203851.5323,88852
1771286400000,2026-02-17,BCHUSDT,569.2,578.0,549.5,563.4,25801.022,14554122.6815,124097
1771200000000,2026-02-16,BCHUSDT,553.5,581.5,551.5,569.2,31961.491,18089765.1198,116952
1771113600000,2026-02-15,BCHUSDT,563.0,566.6,550.4,553.5,22397.933,12497257.8217,91886
1771027200000,2026-02-14,BCHUSDT,563.9,572.6,557.6,562.9,30470.359,17199741.5544,103208
1770940800000,2026-02-13,BCHUSDT,503.0,570.0,499.9,563.9,52303.621,28444904.2164,185704
1770854400000,2026-02-12,BCHUSDT,516.2,521.0,493.8,503.0,25899.034,13162385.9936,104523
1770768000000,2026-02-11,BCHUSDT,524.3,528.0,507.6,516.2,38933.857,20151806.7869,126746
1770681600000,2026-02-10,BCHUSDT,533.0,534.3,511.8,524.3,38388.19,20062497.3684,116666
1770595200000,2026-02-09,BCHUSDT,527.0,538.0,511.2,533.0,31391.099,16488149.2625,122799
1770508800000,2026-02-08,BCHUSDT,525.2,540.8,516.8,527.0,34730.786,18351098.5218,110779
1770422400000,2026-02-07,BCHUSDT,523.1,540.5,514.2,525.1,77624.275,40861576.7752,294442
1770336000000,2026-02-06,BCHUSDT,453.8,542.8,423.0,523.2,131309.698,62439865.9735,439745
1770249600000,2026-02-05,BCHUSDT,532.5,542.6,452.6,453.9,93295.953,46457366.1739,347764
1770163200000,2026-02-04,BCHUSDT,527.0,539.9,515.0,532.5,37639.924,19852810.4493,144291
1770076800000,2026-02-03,BCHUSDT,539.6,542.1,509.6,527.1,36642.32,19289491.0632,141209
1769990400000,2026-02-02,BCHUSDT,516.3,544.1,497.4,539.7,52571.702,27472193.9026,175724
1769904000000,2026-02-01,BCHUSDT,507.6,538.4,506.2,516.2,84361.113,44154554.2991,267695
1769817600000,2026-01-31,BCHUSDT,553.3,554.1,467.2,507.5,72516.898,36614652.6556,240892
1769731200000,2026-01-30,BCHUSDT,554.1,559.8,533.4,553.2,49495.202,27093866.4338,163441
1769644800000,2026-01-29,BCHUSDT,591.2,591.4,548.2,554.1,27886.294,15808022.0768,108607
1769558400000,2026-01-28,BCHUSDT,600.2,602.0,589.4,591.1,18786.675,11167380.7515,81593
1769472000000,2026-01-27,BCHUSDT,578.7,603.9,577.6,600.2,36032.425,21343336.3777,115201
1769385600000,2026-01-26,BCHUSDT,572.1,583.3,571.2,578.7,14970.053,8658866.9871,69196
1769299200000,2026-01-25,BCHUSDT,593.6,595.9,563.6,572.2,23802.139,13817618.6661,95330
1769212800000,2026-01-24,BCHUSDT,595.7,599.1,590.8,593.6,8196.232,4877741.6022,38573
1769126400000,2026-01-23,BCHUSDT,599.2,601.5,586.5,595.7,19873.144,11834683.9218,74425
