https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume COMP,Volume USDT,tradecount
1777161600000,2026-04-26,COMPUSDT,21.72,23.9,21.6,22.45,138949.146,3185927.54346,36563
1777075200000,2026-04-25,COMPUSDT,22.71,22.88,21.7,21.72,32145.877,718109.30028,10680
1776988800000,2026-04-24,COMPUSDT,23.46,23.72,22.5,22.7,24935.403,578268.86985,9482
1776902400000,2026-04-23,COMPUSDT,22.92,23.82,22.53,23.45,50471.077,1167821.07427,12441
1776816000000,2026-04-22,COMPUSDT,22.47,23.63,22.25,22.9,63237.768,1447985.568,16440
1776729600000,2026-04-21,COMPUSDT,25.56,25.8,22.24,22.47,146541.683,3505431.9245,29099
1776643200000,2026-04-20,COMPUSDT,24.35,25.89,24.08,25.57,136364.939,3383660.07821,29127
1776556800000,2026-04-19,COMPUSDT,25.5,25.73,24.0,24.35,110613.99,2743475.63629,24002
1776470400000,2026-04-18,COMPUSDT,26.23,30.25,25.18,25.5,295175.634,7893827.61314,72047
1776384000000,2026-04-17,COMPUSDT,23.5,26.27,23.49,26.23,199691.463,4988414.91618,40722
1776297600000,2026-04-16,COMPUSDT,22.75,23.77,22.38,23.49,120813.439,2778731.83192,17986
1776038400000,2026-04-13,COMPUSDT,20.48,21.07,20.01,20.95,108088.544,2214841.64861,14182
1775952000000,2026-04-12,COMPUSDT,20.17,21.55,19.45,20.47,183565.714,3787616.33621,27353
1775865600000,2026-04-11,COMPUSDT,20.11,21.09,19.69,20.18,195733.917,3977111.94373,27981
1775779200000,2026-04-10,COMPUSDT,19.34,23.43,19.07,20.1,584378.595,12273586.84269,140366
1775692800000,2026-04-09,COMPUSDT,18.16,19.45,17.76,19.33,135721.533,2532393.71726,18477
1775606400000,2026-04-08,COMPUSDT,17.43,19.64,17.27,18.17,238582.395,4404141.40907,35012
1775520000000,2026-04-07,COMPUSDT,16.73,17.51,16.38,17.43,26682.734,447351.19998,2953
1775433600000,2026-04-06,COMPUSDT,16.93,17.08,16.63,16.73,18528.982,312804.76696,1884
