https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume USDT,tradecount
1777161600000,2026-04-26,ENJUSDT,0.06367,0.06645,0.0597,0.06012,79431085.3,4954494.95606,58348
1777075200000,2026-04-25,ENJUSDT,0.06239,0.06615,0.05899,0.06366,124008723.2,7694013.11731,97711
1776988800000,2026-04-24,ENJUSDT,0.06079,0.08779,0.06042,0.06238,528570131.4,37287514.056691,448517
1776902400000,2026-04-23,ENJUSDT,0.0576,0.06355,0.05678,0.06082,124118536.0,7455611.281289,85694
1776816000000,2026-04-22,ENJUSDT,0.06028,0.06304,0.05696,0.05758,70986901.4,4206554.267854,49544
1776729600000,2026-04-21,ENJUSDT,0.06146,0.0635,0.05801,0.06025,91955806.1,5564508.779287,61884
1776643200000,2026-04-20,ENJUSDT,0.05876,0.06513,0.05734,0.06142,169107409.5,10289134.827879,135183
1776556800000,2026-04-19,ENJUSDT,0.05807,0.074,0.05556,0.05881,554757916.1,36229815.898256,410601
1776470400000,2026-04-18,ENJUSDT,0.06128,0.06292,0.05281,0.05803,236119497.9,13568570.169785,145555
1776384000000,2026-04-17,ENJUSDT,0.0756,0.08555,0.0606,0.06129,359994439.7,25839335.79506,257387
1776297600000,2026-04-16,ENJUSDT,0.08978,0.10478,0.07335,0.07562,984804940.8,83172821.407538,781771
1776038400000,2026-04-13,ENJUSDT,0.03811,0.05546,0.0348,0.04435,1027285438.4,45088289.349677,510178
1775952000000,2026-04-12,ENJUSDT,0.03135,0.05382,0.0307,0.03815,1022795017.5,41568211.630956,469043
1775865600000,2026-04-11,ENJUSDT,0.02833,0.03456,0.02727,0.03136,327679334.9,10001048.285843,126981
1775779200000,2026-04-10,ENJUSDT,0.0296,0.0318,0.02813,0.02832,212756125.0,6299352.920164,90950
1775692800000,2026-04-09,ENJUSDT,0.02788,0.043,0.02549,0.02958,1511032028.1,49406683.97548,544889
1775606400000,2026-04-08,ENJUSDT,0.01998,0.0338,0.01986,0.02795,594158651.7,16811898.325299,224070
1775520000000,2026-04-07,ENJUSDT,0.01967,0.02009,0.01898,0.01998,23312678.9,452594.734325,15098
1775433600000,2026-04-06,ENJUSDT,0.01985,0.02031,0.01951,0.01969,44632429.1,887440.451815,11644
1775347200000,2026-04-05,ENJUSDT,0.01998,0.0204,0.01936,0.01986,50200341.3,997112.416011,12521
1775260800000,2026-04-04,ENJUSDT,0.0199,0.02073,0.0197,0.01997,63406430.8,1275146.578346,15159
1775174400000,2026-04-03,ENJUSDT,0.02039,0.02102,0.01984,0.01992,41330243.7,842359.861822,11010
1775088000000,2026-04-02,ENJUSDT,0.02092,0.02193,0.01984,0.02037,93931068.0,1961595.968189,36346
1775001600000,2026-04-01,ENJUSDT,0.02019,0.02118,0.02005,0.0209,45176012.5,936118.681848,15363
1774915200000,2026-03-31,ENJUSDT,0.02059,0.02118,0.01993,0.02019,38088964.4,774162.190149,8667
1774828800000,2026-03-30,ENJUSDT,0.02071,0.02174,0.02039,0.02056,63808316.7,1340916.310671,18061
1774742400000,2026-03-29,ENJUSDT,0.01987,0.02375,0.01964,0.0207,228115818.6,4873146.565006,64514
1774656000000,2026-03-28,ENJUSDT,0.02033,0.02103,0.01951,0.01986,59539192.6,1196990.577845,12267
1774569600000,2026-03-27,ENJUSDT,0.02213,0.02272,0.02018,0.02033,45266274.5,971251.081284,12722
1774483200000,2026-03-26,ENJUSDT,0.02093,0.02464,0.02021,0.02213,187315222.0,4205650.141723,52007
1774310400000,2026-03-24,ENJUSDT,0.02162,0.02204,0.02047,0.02095,45954809.7,969643.389192,10304
1774224000000,2026-03-23,ENJUSDT,0.02083,0.02254,0.0208,0.02164,42985310.0,930089.245974,10562
1773878400000,2026-03-19,ENJUSDT,0.02456,0.02944,0.02277,0.0254,400259964.9,10156297.18248,165493
1773792000000,2026-03-18,ENJUSDT,0.02058,0.0315,0.02022,0.02461,908994477.3,23356502.894711,285651
1773705600000,2026-03-17,ENJUSDT,0.01927,0.02355,0.01887,0.02059,204156253.2,4279519.458056,60212
