https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USDT,tradecount
1777161600000,2026-04-26,ETCUSDT,8.44,8.55,8.39,8.53,196561.03,1664474.2347,17431
1777075200000,2026-04-25,ETCUSDT,8.53,8.58,8.4,8.44,124686.49,1060030.6875,14841
1776988800000,2026-04-24,ETCUSDT,8.52,8.61,8.43,8.53,172891.4,1474122.0526,19871
1776902400000,2026-04-23,ETCUSDT,8.44,8.56,8.34,8.52,244065.05,2061664.3268,28781
1776816000000,2026-04-22,ETCUSDT,8.44,8.75,8.41,8.44,282830.06,2437122.6085,29775
1776729600000,2026-04-21,ETCUSDT,8.4,8.54,8.28,8.44,270578.21,2281516.1536,27753
1776643200000,2026-04-20,ETCUSDT,8.23,8.49,8.22,8.4,199578.59,1676174.7918,23261
1776556800000,2026-04-19,ETCUSDT,8.51,8.53,8.18,8.23,331979.49,2777000.575,33806
1776470400000,2026-04-18,ETCUSDT,8.78,8.83,8.43,8.5,282485.67,2433069.9429,30337
1776384000000,2026-04-17,ETCUSDT,8.75,8.94,8.51,8.78,496527.18,4340152.0681,47403
1776297600000,2026-04-16,ETCUSDT,8.45,8.9,8.36,8.75,555005.29,4771345.7583,53096
1776038400000,2026-04-13,ETCUSDT,8.13,8.62,8.11,8.6,386050.77,3190481.5973,32201
1775952000000,2026-04-12,ETCUSDT,8.43,8.46,8.1,8.13,382571.3,3139855.1828,31814
1775865600000,2026-04-11,ETCUSDT,8.49,8.57,8.26,8.44,366472.12,3077844.7239,27819
1775779200000,2026-04-10,ETCUSDT,8.44,8.65,8.37,8.49,307149.81,2608908.4554,26800
1775692800000,2026-04-09,ETCUSDT,8.41,8.62,8.31,8.43,321748.61,2706524.1562,31355
1775606400000,2026-04-08,ETCUSDT,8.85,8.88,8.37,8.42,444710.11,3839228.6811,36073
1775520000000,2026-04-07,ETCUSDT,8.43,8.95,8.1,8.86,642862.98,5398596.1168,55117
1775433600000,2026-04-06,ETCUSDT,8.74,8.82,8.37,8.42,367693.32,3186271.2389,33386
1775347200000,2026-04-05,ETCUSDT,8.63,8.83,8.4,8.73,594965.64,5075687.7623,44378
1775260800000,2026-04-04,ETCUSDT,8.08,9.01,8.07,8.62,1175846.42,10121088.7553,85385
1775174400000,2026-04-03,ETCUSDT,7.88,8.19,7.83,8.08,207286.69,1665402.8803,17844
1775088000000,2026-04-02,ETCUSDT,8.2,8.26,7.8,7.88,280487.89,2223756.8558,25502
1775001600000,2026-04-01,ETCUSDT,8.19,8.37,8.13,8.19,222004.64,1833711.9925,23048
1774915200000,2026-03-31,ETCUSDT,8.07,8.25,8.0,8.19,195284.6,1586690.9831,21176
1774828800000,2026-03-30,ETCUSDT,7.95,8.4,7.93,8.07,335829.05,2760711.2031,28744
1774742400000,2026-03-29,ETCUSDT,8.03,8.1,7.76,7.95,234640.03,1867182.5493,19532
1774656000000,2026-03-28,ETCUSDT,8.09,8.25,8.02,8.04,127320.84,1036212.2768,15353
1774569600000,2026-03-27,ETCUSDT,8.21,8.25,7.97,8.09,263355.45,2132646.9574,28875
1774483200000,2026-03-26,ETCUSDT,8.67,8.7,8.14,8.21,270259.7,2256435.2886,28756
1774310400000,2026-03-24,ETCUSDT,8.59,8.73,8.35,8.67,250490.22,2131037.0575,27549
1774224000000,2026-03-23,ETCUSDT,8.04,8.73,7.98,8.59,425628.86,3564304.8424,50854
1773878400000,2026-03-19,ETCUSDT,8.51,8.66,8.24,8.34,236287.55,1986057.1503,22839
1773792000000,2026-03-18,ETCUSDT,8.87,8.96,8.3,8.51,297415.45,2557896.824,31325
1773705600000,2026-03-17,ETCUSDT,9.03,9.09,8.76,8.86,293946.98,2616790.1396,28104
1773619200000,2026-03-16,ETCUSDT,8.48,9.23,8.44,9.03,809200.95,7209468.442,66844
1773532800000,2026-03-15,ETCUSDT,8.26,8.52,8.19,8.48,282231.22,2350998.3266,22037
1773446400000,2026-03-14,ETCUSDT,8.48,8.52,8.18,8.26,247821.3,2059103.6398,17956
1773360000000,2026-03-13,ETCUSDT,8.27,8.85,8.25,8.49,501381.03,4293127.3264,43623
1773273600000,2026-03-12,ETCUSDT,8.29,8.32,8.11,8.27,204789.31,1682470.9775,16647
1773187200000,2026-03-11,ETCUSDT,8.24,8.43,8.13,8.28,351346.78,2899229.1291,28518
1773100800000,2026-03-10,ETCUSDT,8.16,8.54,8.15,8.23,389991.24,3249228.6416,32165
1773014400000,2026-03-09,ETCUSDT,7.99,8.36,7.98,8.16,264403.22,2160570.4715,26874
1772928000000,2026-03-08,ETCUSDT,8.12,8.19,7.87,7.99,371504.61,2989186.101,29572
1772841600000,2026-03-07,ETCUSDT,8.25,8.29,8.04,8.12,245584.75,2003936.9972,15039
1772755200000,2026-03-06,ETCUSDT,8.65,8.73,8.12,8.25,360539.16,3020128.3279,29645
1772668800000,2026-03-05,ETCUSDT,8.85,8.95,8.51,8.65,484214.39,4236267.2525,43374
1772582400000,2026-03-04,ETCUSDT,8.5,9.02,8.37,8.85,524710.08,4556224.1264,48481
1772496000000,2026-03-03,ETCUSDT,8.72,8.74,8.32,8.49,338159.62,2870177.3604,38074
1772409600000,2026-03-02,ETCUSDT,8.48,8.97,8.44,8.72,353767.03,3076846.9493,44982
1772323200000,2026-03-01,ETCUSDT,8.68,8.92,8.31,8.47,353317.89,3049296.3902,37399
1772236800000,2026-02-28,ETCUSDT,8.64,8.75,8.12,8.68,552002.78,4614306.2643,55615
1772150400000,2026-02-27,ETCUSDT,8.86,9.08,8.47,8.65,512673.11,4548464.29,56399
1772064000000,2026-02-26,ETCUSDT,9.16,9.26,8.66,8.86,555480.04,4982698.6922,66304
1771977600000,2026-02-25,ETCUSDT,8.3,9.64,8.27,9.15,787312.56,7043024.1513,98117
1771891200000,2026-02-24,ETCUSDT,8.37,8.45,8.08,8.3,449339.14,3692474.3232,44536
1771804800000,2026-02-23,ETCUSDT,8.51,8.54,8.1,8.36,577500.78,4793058.8723,57268
1771718400000,2026-02-22,ETCUSDT,9.04,9.04,8.45,8.52,380826.95,3332435.1934,33094
1771632000000,2026-02-21,ETCUSDT,8.75,9.79,8.69,9.05,1293392.6,12146642.7337,111433
1771545600000,2026-02-20,ETCUSDT,8.27,8.78,8.19,8.76,439039.48,3712883.2839,44011
1771459200000,2026-02-19,ETCUSDT,8.44,8.49,8.16,8.27,261766.08,2175698.5733,22387
1771372800000,2026-02-18,ETCUSDT,8.69,8.79,8.38,8.44,182623.03,1570182.4843,17911
1771286400000,2026-02-17,ETCUSDT,8.85,8.86,8.58,8.68,227973.78,1988172.3034,22092
1771200000000,2026-02-16,ETCUSDT,8.74,8.9,8.6,8.84,284328.97,2483044.7596,25417
1771113600000,2026-02-15,ETCUSDT,9.0,9.16,8.6,8.74,437294.56,3884575.4277,42822
1771027200000,2026-02-14,ETCUSDT,8.53,9.07,8.53,9.0,542914.63,4763538.6963,34935
1770940800000,2026-02-13,ETCUSDT,8.25,8.61,8.1,8.53,389763.91,3254576.7189,34801
1770854400000,2026-02-12,ETCUSDT,8.13,8.43,7.99,8.25,656139.09,5406215.1306,49260
1770768000000,2026-02-11,ETCUSDT,8.34,8.44,7.95,8.14,639909.23,5212444.1326,46054
1770681600000,2026-02-10,ETCUSDT,8.6,8.63,8.25,8.33,407894.38,3425242.8645,30217
1770595200000,2026-02-09,ETCUSDT,8.57,8.72,8.21,8.59,434231.58,3696010.0969,40711
1770508800000,2026-02-08,ETCUSDT,8.78,8.79,8.48,8.57,370547.61,3211781.2808,32015
1770422400000,2026-02-07,ETCUSDT,8.83,8.92,8.45,8.78,887659.71,7749564.2767,77137
1770336000000,2026-02-06,ETCUSDT,8.06,9.01,7.15,8.84,1848557.9,14938684.474,168704
1770249600000,2026-02-05,ETCUSDT,9.34,9.44,7.92,8.06,1990113.54,17019081.3522,174882
1770163200000,2026-02-04,ETCUSDT,9.57,9.8,9.16,9.34,846417.23,8057767.8237,80352
1770076800000,2026-02-03,ETCUSDT,9.81,9.94,9.19,9.57,649968.07,6261250.311,65608
1769990400000,2026-02-02,ETCUSDT,9.51,9.94,9.2,9.81,533338.14,5101594.4236,80483
1769904000000,2026-02-01,ETCUSDT,9.77,9.93,9.29,9.5,638389.05,6178211.103,75991
