https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume HBAR,Volume USDT,tradecount
1777161600000,2026-04-26,HBARUSDT,0.09123,0.09327,0.09056,0.09231,68720048.0,6344387.48742,61359
1777075200000,2026-04-25,HBARUSDT,0.09094,0.09219,0.09019,0.09122,45600400.0,4158109.7567,46115
1776988800000,2026-04-24,HBARUSDT,0.09081,0.09221,0.0901,0.09093,56696479.0,5164511.75369,55217
1776902400000,2026-04-23,HBARUSDT,0.09081,0.09144,0.08971,0.09081,68604257.0,6215405.13693,65114
1776816000000,2026-04-22,HBARUSDT,0.09036,0.09345,0.08986,0.0908,117326702.0,10736161.40618,87170
1776729600000,2026-04-21,HBARUSDT,0.08974,0.09138,0.08877,0.09034,79207974.0,7132018.62153,70221
1776643200000,2026-04-20,HBARUSDT,0.08725,0.09055,0.08718,0.08973,106686293.0,9508851.59429,85544
1776556800000,2026-04-19,HBARUSDT,0.08878,0.08963,0.08699,0.08724,74669737.0,6590435.84812,67587
1776470400000,2026-04-18,HBARUSDT,0.09073,0.09109,0.08796,0.08878,77248526.0,6897483.42588,65390
1776384000000,2026-04-17,HBARUSDT,0.0907,0.09353,0.08859,0.09074,152432765.0,13931688.17444,127956
1776297600000,2026-04-16,HBARUSDT,0.08712,0.09165,0.08636,0.09071,142269864.0,12636042.76013,107870
1776038400000,2026-04-13,HBARUSDT,0.08516,0.08813,0.08439,0.08778,116995163.0,10028751.2511,171660
1775952000000,2026-04-12,HBARUSDT,0.08831,0.0886,0.08503,0.08516,79878617.0,6894299.70404,131337
1775865600000,2026-04-11,HBARUSDT,0.08951,0.08984,0.08789,0.08832,67470534.0,5972070.26325,75767
1775779200000,2026-04-10,HBARUSDT,0.08937,0.09049,0.08775,0.08951,99982010.0,8915707.65025,82330
1775692800000,2026-04-09,HBARUSDT,0.08901,0.09168,0.08766,0.08939,105057088.0,9411217.51447,88194
1775606400000,2026-04-08,HBARUSDT,0.09186,0.09486,0.08847,0.08902,179572647.0,16478533.47562,151953
