https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1777161600000,2026-04-26,IOTAUSDT,0.0577,0.0583,0.0569,0.0579,14529253.0,839177.5415,5095
1777075200000,2026-04-25,IOTAUSDT,0.0581,0.0596,0.0573,0.0577,15891891.0,927240.7504,5656
1776988800000,2026-04-24,IOTAUSDT,0.057,0.0587,0.0563,0.0581,21028054.0,1207070.5501,7068
1776902400000,2026-04-23,IOTAUSDT,0.0578,0.0581,0.0559,0.057,22493164.0,1279095.6007,7525
1776816000000,2026-04-22,IOTAUSDT,0.0581,0.0594,0.0575,0.0578,17604940.0,1032350.2375,6432
1776729600000,2026-04-21,IOTAUSDT,0.058,0.059,0.0571,0.0581,20645601.0,1198414.9511,6628
1776643200000,2026-04-20,IOTAUSDT,0.0564,0.059,0.0563,0.0581,21958352.0,1271472.6654,6729
1776556800000,2026-04-19,IOTAUSDT,0.0567,0.0579,0.056,0.0563,21465393.0,1221644.438,6962
1776470400000,2026-04-18,IOTAUSDT,0.0599,0.0604,0.0567,0.0567,22684920.0,1329534.8558,7882
1776384000000,2026-04-17,IOTAUSDT,0.059,0.062,0.0577,0.06,31536468.0,1885300.1188,11685
1776297600000,2026-04-16,IOTAUSDT,0.0557,0.0597,0.0554,0.059,34826185.0,1984867.4419,10518
1776038400000,2026-04-13,IOTAUSDT,0.0544,0.0564,0.0528,0.0563,37935696.0,2060601.11,10066
1775952000000,2026-04-12,IOTAUSDT,0.0573,0.0576,0.0542,0.0544,18876888.0,1049554.6105,6743
1775865600000,2026-04-11,IOTAUSDT,0.0575,0.058,0.0564,0.0574,16618260.0,948437.6545,5442
1775779200000,2026-04-10,IOTAUSDT,0.0571,0.0581,0.0566,0.0575,26027621.0,1491117.6314,8593
1775692800000,2026-04-09,IOTAUSDT,0.0582,0.0583,0.0567,0.0571,21044189.0,1207595.8094,9974
1775606400000,2026-04-08,IOTAUSDT,0.0597,0.0611,0.0581,0.0582,23716140.0,1419894.9468,8592
1775520000000,2026-04-07,IOTAUSDT,0.0576,0.0603,0.0549,0.0597,39786980.0,2278550.1615,13587
1775433600000,2026-04-06,IOTAUSDT,0.0593,0.0599,0.057,0.0576,21153714.0,1242966.2465,8296
1775347200000,2026-04-05,IOTAUSDT,0.0611,0.0612,0.0575,0.0592,21726601.0,1280260.8234,7519
1775260800000,2026-04-04,IOTAUSDT,0.064,0.064,0.0608,0.0612,26567164.0,1652269.8241,11011
1775174400000,2026-04-03,IOTAUSDT,0.0591,0.0647,0.0581,0.064,71907998.0,4458110.8569,21257
1775088000000,2026-04-02,IOTAUSDT,0.059,0.0608,0.0576,0.0592,46921259.0,2762529.6393,13058
1775001600000,2026-04-01,IOTAUSDT,0.0547,0.0611,0.0545,0.0592,61578581.0,3603243.581,20816
1774915200000,2026-03-31,IOTAUSDT,0.0547,0.0557,0.0541,0.0547,18332900.0,1004177.6693,5539
1774828800000,2026-03-30,IOTAUSDT,0.0535,0.0562,0.0535,0.0546,20129271.0,1108845.8988,5914
1774742400000,2026-03-29,IOTAUSDT,0.0549,0.0555,0.0515,0.0534,18620778.0,999744.5053,7387
1774656000000,2026-03-28,IOTAUSDT,0.0551,0.0563,0.0546,0.055,14275342.0,792374.5143,5127
