https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MANA,Volume USDT,tradecount
1777161600000,2026-04-26,MANAUSDT,0.097,0.097,0.0937,0.0948,6029159.0,572830.9265,5044
1777075200000,2026-04-25,MANAUSDT,0.0952,0.1017,0.0943,0.0971,29572883.0,2910691.364,19044
1776988800000,2026-04-24,MANAUSDT,0.0921,0.0968,0.0912,0.0952,14783111.0,1381827.5328,9081
1776902400000,2026-04-23,MANAUSDT,0.0913,0.0923,0.0894,0.0921,4068249.0,369093.2657,3177
1776816000000,2026-04-22,MANAUSDT,0.0925,0.094,0.0913,0.0913,6167498.0,571664.2714,4248
1776729600000,2026-04-21,MANAUSDT,0.0917,0.0929,0.0895,0.0924,4244491.0,387331.9112,4329
1776643200000,2026-04-20,MANAUSDT,0.0895,0.0933,0.0891,0.0917,5136937.0,467815.2965,5345
1776556800000,2026-04-19,MANAUSDT,0.0916,0.0944,0.0892,0.0894,6850873.0,628704.2035,5544
1776470400000,2026-04-18,MANAUSDT,0.0953,0.0981,0.0915,0.0916,9250117.0,876043.9802,7991
1776384000000,2026-04-17,MANAUSDT,0.0948,0.0974,0.0919,0.0954,7974784.0,756944.365,6767
1776297600000,2026-04-16,MANAUSDT,0.0903,0.097,0.0896,0.0949,16033297.0,1499861.2986,10478
1776038400000,2026-04-13,MANAUSDT,0.0858,0.0898,0.085,0.0897,4187707.0,363890.6575,3586
1775952000000,2026-04-12,MANAUSDT,0.09,0.0902,0.0854,0.0857,6169662.0,538311.9251,4893
1775865600000,2026-04-11,MANAUSDT,0.0904,0.0915,0.088,0.0899,3874832.0,347222.9883,3830
1775779200000,2026-04-10,MANAUSDT,0.0919,0.0929,0.0897,0.0904,7161483.0,652572.3551,6063
1775692800000,2026-04-09,MANAUSDT,0.0883,0.0943,0.0877,0.0918,21180056.0,1937289.7984,13390
1775606400000,2026-04-08,MANAUSDT,0.0903,0.0908,0.0867,0.0882,7420157.0,658291.3458,5824
1775520000000,2026-04-07,MANAUSDT,0.0851,0.0903,0.0831,0.0901,4344369.0,372538.2406,4059
1775433600000,2026-04-06,MANAUSDT,0.0864,0.0889,0.0844,0.0852,4698924.0,408294.0897,3553
1775347200000,2026-04-05,MANAUSDT,0.0876,0.0877,0.084,0.0863,3287799.0,280499.0869,3087
1775260800000,2026-04-04,MANAUSDT,0.0865,0.0897,0.0863,0.0876,2946477.0,259568.7734,3062
1775174400000,2026-04-03,MANAUSDT,0.0851,0.0891,0.0845,0.0865,4502569.0,392353.5295,3995
1775088000000,2026-04-02,MANAUSDT,0.0879,0.0887,0.0843,0.085,5120184.0,439493.2894,5589
1775001600000,2026-04-01,MANAUSDT,0.0847,0.0905,0.0846,0.0878,10491413.0,923104.9639,7767
1774915200000,2026-03-31,MANAUSDT,0.0827,0.0849,0.081,0.0847,4733194.0,392850.3568,3627
1774828800000,2026-03-30,MANAUSDT,0.0801,0.0844,0.08,0.0827,5370543.0,444015.6379,4248
1774742400000,2026-03-29,MANAUSDT,0.0813,0.0819,0.0781,0.08,3419708.0,275170.7428,2460
1774656000000,2026-03-28,MANAUSDT,0.0813,0.0839,0.0799,0.0812,3455996.0,283820.0951,2594
1774569600000,2026-03-27,MANAUSDT,0.0833,0.0849,0.0807,0.0813,4705744.0,388390.4134,3783
1774483200000,2026-03-26,MANAUSDT,0.0892,0.09,0.0827,0.0833,5578701.0,477691.6902,4345
1774310400000,2026-03-24,MANAUSDT,0.0877,0.0896,0.0862,0.0885,6931106.0,609038.0028,4868
1774224000000,2026-03-23,MANAUSDT,0.0835,0.0886,0.0831,0.0877,6128075.0,527579.8843,5335
1773878400000,2026-03-19,MANAUSDT,0.092,0.0924,0.0883,0.0897,7063076.0,635633.4311,9513
1773792000000,2026-03-18,MANAUSDT,0.0963,0.0998,0.0908,0.0921,15637198.0,1497974.3459,13229
1773705600000,2026-03-17,MANAUSDT,0.0979,0.0983,0.0947,0.0964,6533844.0,629783.3752,5737
1773619200000,2026-03-16,MANAUSDT,0.0927,0.0985,0.0921,0.0978,13420361.0,1278291.2514,9892
1773532800000,2026-03-15,MANAUSDT,0.0904,0.0932,0.0898,0.0926,6331702.0,580161.5323,4860
1773446400000,2026-03-14,MANAUSDT,0.0916,0.093,0.0897,0.0904,4524873.0,410860.4596,3601
1773360000000,2026-03-13,MANAUSDT,0.0921,0.0956,0.0913,0.0917,6451721.0,602823.6011,5973
1773273600000,2026-03-12,MANAUSDT,0.0924,0.093,0.0893,0.0921,8099877.0,738301.0783,6453
1773187200000,2026-03-11,MANAUSDT,0.0909,0.094,0.0896,0.0924,7068979.0,651940.302,7191
1773100800000,2026-03-10,MANAUSDT,0.0906,0.0943,0.0902,0.0908,7019816.0,646791.9941,6645
1773014400000,2026-03-09,MANAUSDT,0.0892,0.0923,0.0884,0.0905,9191742.0,830616.2402,9042
1772928000000,2026-03-08,MANAUSDT,0.0915,0.0927,0.0886,0.089,8573916.0,773966.7652,6675
1772841600000,2026-03-07,MANAUSDT,0.0941,0.0946,0.0908,0.0914,2837410.0,261454.3541,3453
1772755200000,2026-03-06,MANAUSDT,0.0977,0.0986,0.0924,0.0941,4690568.0,447867.6087,5839
1772668800000,2026-03-05,MANAUSDT,0.0995,0.1005,0.0954,0.0976,4510055.0,442276.7016,5603
1772582400000,2026-03-04,MANAUSDT,0.0968,0.1016,0.0948,0.0996,6873405.0,673911.1788,9074
1772496000000,2026-03-03,MANAUSDT,0.0975,0.0978,0.0936,0.0968,6142064.0,589733.9535,7153
1772409600000,2026-03-02,MANAUSDT,0.0956,0.1022,0.0948,0.0975,8125317.0,796425.8011,11149
1772323200000,2026-03-01,MANAUSDT,0.0972,0.1012,0.0929,0.0955,8183001.0,794826.6574,10357
1772236800000,2026-02-28,MANAUSDT,0.0962,0.0979,0.0898,0.0971,8596882.0,799262.0636,11854
