https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MKR,Volume USDT,tradecount
1757808000000,2025-09-14,MKRUSDT,1844.0,1928.0,1791.4,1800.1,2500.176,4660423.76799,58599
1757721600000,2025-09-13,MKRUSDT,1762.4,1844.0,1745.7,1844.0,2409.8905,4324411.91234,71065
1757635200000,2025-09-12,MKRUSDT,1722.3,1789.9,1721.5,1760.5,2089.3485,3673218.05064,50164
1757548800000,2025-09-11,MKRUSDT,1723.5,1800.0,1701.2,1720.7,3956.5331,6899651.99853,121501
1757462400000,2025-09-10,MKRUSDT,1666.8,1799.0,1650.0,1723.5,4427.6771,7527847.8083,95248
1757376000000,2025-09-09,MKRUSDT,1667.0,1850.0,1642.3,1666.8,5057.4295,8832006.08949,66738
1757289600000,2025-09-08,MKRUSDT,1708.0,1774.0,1617.6,1667.0,4370.2201,7296062.76495,56876
1757203200000,2025-09-07,MKRUSDT,1709.6,1744.5,1675.2,1708.2,3150.3153,5371351.84556,48151
1757116800000,2025-09-06,MKRUSDT,1805.7,1829.2,1700.0,1709.5,3075.1161,5406970.47845,68915
1757030400000,2025-09-05,MKRUSDT,1741.3,1852.8,1701.5,1805.8,6243.7634,11042694.425,113840
1756944000000,2025-09-04,MKRUSDT,1785.7,1811.0,1726.4,1741.2,7369.7512,13033641.1938,118147
1756857600000,2025-09-03,MKRUSDT,1749.9,1805.5,1677.0,1785.6,6207.5605,10756711.54035,51135
1756771200000,2025-09-02,MKRUSDT,1588.3,1863.0,1583.6,1750.1,12679.9903,22003092.75909,183103
1756684800000,2025-09-01,MKRUSDT,1542.8,1590.9,1514.2,1588.9,3283.2195,5132173.98166,73628
1756598400000,2025-08-31,MKRUSDT,1566.9,1586.4,1528.9,1542.9,2059.7113,3217477.47732,48500
1756512000000,2025-08-30,MKRUSDT,1534.2,1570.2,1502.5,1566.8,1814.4041,2779043.4989,47133
1756425600000,2025-08-29,MKRUSDT,1543.8,1552.8,1476.3,1534.1,4147.7851,6327502.06695,82174
1756339200000,2025-08-28,MKRUSDT,1590.2,1606.4,1516.0,1543.8,4005.9851,6202214.97268,68753
1756252800000,2025-08-27,MKRUSDT,1597.6,1628.3,1558.1,1590.1,4592.4565,7297827.07202,110350
1756166400000,2025-08-26,MKRUSDT,1481.2,1628.6,1465.5,1598.0,6577.3662,10219003.50334,149038
1756080000000,2025-08-25,MKRUSDT,1520.3,1542.1,1451.0,1481.0,4884.8653,7319908.48133,109498
1755993600000,2025-08-24,MKRUSDT,1620.4,1640.1,1491.7,1520.4,7030.8621,11006601.65579,148093
1755907200000,2025-08-23,MKRUSDT,1711.5,1716.6,1589.2,1620.5,7582.2319,12409710.80345,157823
1755820800000,2025-08-22,MKRUSDT,1616.4,1786.0,1506.0,1711.4,9441.4102,15517979.32736,198511
1755734400000,2025-08-21,MKRUSDT,1665.9,1691.9,1611.2,1616.3,4820.4427,7980221.47276,120744
1755648000000,2025-08-20,MKRUSDT,1653.3,1688.7,1582.4,1665.9,3849.3857,6330568.11663,110569
1755561600000,2025-08-19,MKRUSDT,1716.0,1734.8,1650.8,1653.2,3808.8655,6436891.86068,118019
1755475200000,2025-08-18,MKRUSDT,1832.3,1840.4,1685.3,1715.9,4894.2459,8574703.26911,144242
1755388800000,2025-08-17,MKRUSDT,1786.9,1892.8,1786.1,1832.4,3759.0601,6883581.01016,102445
1755302400000,2025-08-16,MKRUSDT,1833.4,1839.6,1784.2,1786.8,1996.1586,3603817.4187,68730
1755216000000,2025-08-15,MKRUSDT,1843.6,1884.6,1774.7,1833.4,3984.0212,7326886.76928,118749
1755129600000,2025-08-14,MKRUSDT,1960.3,2010.0,1827.8,1843.6,7079.3915,13482155.51563,201777
1755043200000,2025-08-13,MKRUSDT,2005.6,2045.5,1935.1,1960.2,6404.7452,12711509.59563,166576
1754956800000,2025-08-12,MKRUSDT,2004.9,2065.8,1951.9,2005.8,4848.2825,9776310.92709,143120
