https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1777161600000,2026-04-26,SANDUSDT,0.0821,0.0829,0.0791,0.0809,67284262.0,5437959.0477,28485
1777075200000,2026-04-25,SANDUSDT,0.0789,0.0865,0.0781,0.0821,210725977.0,17357967.0023,72512
1776988800000,2026-04-24,SANDUSDT,0.0767,0.0803,0.0757,0.0788,40345252.0,3156774.0522,20971
1776902400000,2026-04-23,SANDUSDT,0.077,0.0774,0.075,0.0766,31563428.0,2404223.8048,15059
1776816000000,2026-04-22,SANDUSDT,0.0786,0.0801,0.0769,0.077,30680878.0,2406262.2867,17916
1776729600000,2026-04-21,SANDUSDT,0.0802,0.0808,0.0761,0.0785,33525197.0,2625473.7782,22888
1776643200000,2026-04-20,SANDUSDT,0.0773,0.0819,0.077,0.0802,18542429.0,1475524.2197,10272
1776556800000,2026-04-19,SANDUSDT,0.0803,0.0816,0.0769,0.0773,24884251.0,1971566.1374,9580
1776470400000,2026-04-18,SANDUSDT,0.0839,0.0861,0.0799,0.0802,31364615.0,2604538.2716,13983
1776384000000,2026-04-17,SANDUSDT,0.0839,0.0862,0.0814,0.0839,23943058.0,2003451.2389,14333
1776297600000,2026-04-16,SANDUSDT,0.0791,0.085,0.0785,0.084,37292912.0,3033114.9838,19828
1776038400000,2026-04-13,SANDUSDT,0.0748,0.0802,0.0741,0.0798,31194677.0,2386550.7694,15822
1775952000000,2026-04-12,SANDUSDT,0.0777,0.0778,0.0746,0.0748,23723805.0,1794505.5931,15698
1775865600000,2026-04-11,SANDUSDT,0.078,0.0796,0.0756,0.0777,19581617.0,1515182.1959,7694
1775779200000,2026-04-10,SANDUSDT,0.0783,0.0786,0.0752,0.078,32867741.0,2534685.1378,13545
1775692800000,2026-04-09,SANDUSDT,0.0777,0.0802,0.0756,0.0784,29696071.0,2300972.3091,17036
1775606400000,2026-04-08,SANDUSDT,0.0808,0.0816,0.0773,0.0776,25646448.0,2043505.4179,25065
1775520000000,2026-04-07,SANDUSDT,0.0766,0.0817,0.0746,0.0808,28568576.0,2193611.0763,15831
1775433600000,2026-04-06,SANDUSDT,0.0764,0.0797,0.0758,0.0765,22600837.0,1762024.5339,12816
1775347200000,2026-04-05,SANDUSDT,0.0772,0.0772,0.0741,0.0763,14593347.0,1098338.7139,7021
1775260800000,2026-04-04,SANDUSDT,0.0767,0.0784,0.0763,0.0772,14061529.0,1087087.0638,8679
