https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SNX,Volume USDT,tradecount
1777161600000,2026-04-26,SNXUSDT,0.303,0.328,0.298,0.323,7000316.3,2210413.3243,12405
1777075200000,2026-04-25,SNXUSDT,0.305,0.312,0.299,0.302,1485398.7,455287.1296,2647
1776988800000,2026-04-24,SNXUSDT,0.301,0.307,0.299,0.304,1967002.9,595648.4002,3822
1776902400000,2026-04-23,SNXUSDT,0.296,0.301,0.291,0.301,1641790.5,485330.055,4589
1776816000000,2026-04-22,SNXUSDT,0.293,0.303,0.291,0.297,2167704.9,648837.9798,5869
1776729600000,2026-04-21,SNXUSDT,0.293,0.296,0.287,0.292,2475850.8,723378.3629,6238
1776643200000,2026-04-20,SNXUSDT,0.286,0.303,0.285,0.292,4462806.1,1316929.7164,9221
1776556800000,2026-04-19,SNXUSDT,0.296,0.297,0.283,0.286,2036669.6,592902.9407,5948
1776470400000,2026-04-18,SNXUSDT,0.308,0.314,0.297,0.297,2311034.1,704595.9168,7042
1776384000000,2026-04-17,SNXUSDT,0.309,0.315,0.297,0.308,5424596.7,1673394.7511,13977
1776297600000,2026-04-16,SNXUSDT,0.294,0.31,0.293,0.309,2862518.7,861568.2757,10084
1776038400000,2026-04-13,SNXUSDT,0.281,0.296,0.279,0.294,2795714.5,798839.8004,7113
1775952000000,2026-04-12,SNXUSDT,0.291,0.292,0.28,0.281,1520048.4,431969.2913,4334
1775865600000,2026-04-11,SNXUSDT,0.294,0.296,0.287,0.291,1417716.8,413503.6903,3698
1775779200000,2026-04-10,SNXUSDT,0.294,0.301,0.288,0.294,2076451.3,612241.0271,4622
1775692800000,2026-04-09,SNXUSDT,0.289,0.302,0.286,0.294,1905017.6,557710.7341,3674
1775606400000,2026-04-08,SNXUSDT,0.303,0.303,0.288,0.289,1962975.1,583791.1416,4507
1775520000000,2026-04-07,SNXUSDT,0.291,0.303,0.282,0.302,3838674.3,1119284.7015,9900
1775433600000,2026-04-06,SNXUSDT,0.286,0.32,0.284,0.292,10482044.0,3127817.5125,22813
