https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1777161600000,2026-04-26,UNIUSDT,3.258,3.309,3.231,3.283,1413309.94,4632611.3172,30449
1777075200000,2026-04-25,UNIUSDT,3.252,3.281,3.225,3.258,1050595.09,3418482.25061,20453
1776988800000,2026-04-24,UNIUSDT,3.294,3.313,3.222,3.253,2347451.8,7654837.86279,39667
1776902400000,2026-04-23,UNIUSDT,3.317,3.329,3.208,3.294,3438069.63,11227049.04926,55975
1776816000000,2026-04-22,UNIUSDT,3.273,3.439,3.258,3.315,3273370.62,11045568.04952,51655
1776729600000,2026-04-21,UNIUSDT,3.233,3.297,3.185,3.271,2327147.18,7556490.08912,53045
1776643200000,2026-04-20,UNIUSDT,3.232,3.336,3.197,3.233,2609008.94,8502760.02054,51705
1776556800000,2026-04-19,UNIUSDT,3.35,3.362,3.206,3.231,3258149.99,10724308.4468,62486
1776470400000,2026-04-18,UNIUSDT,3.452,3.479,3.327,3.35,2608264.7,8873247.23589,51203
1776384000000,2026-04-17,UNIUSDT,3.428,3.582,3.326,3.453,4216704.32,14618907.99059,83052
1776297600000,2026-04-16,UNIUSDT,3.225,3.47,3.197,3.429,5136540.28,17095298.49766,84980
1776038400000,2026-04-13,UNIUSDT,3.019,3.258,3.0,3.234,3664725.93,11358797.37082,54977
1775952000000,2026-04-12,UNIUSDT,3.15,3.158,3.005,3.018,2569774.21,7861492.42885,40104
1775865600000,2026-04-11,UNIUSDT,3.165,3.221,3.115,3.15,1880447.92,5943660.66587,27350
1775779200000,2026-04-10,UNIUSDT,3.107,3.198,3.089,3.166,2731090.73,8583947.72276,44123
1775692800000,2026-04-09,UNIUSDT,3.12,3.219,3.048,3.107,3187059.2,9904575.77076,45374
1775606400000,2026-04-08,UNIUSDT,3.286,3.3,3.111,3.121,2903915.59,9320372.33005,46910
1775520000000,2026-04-07,UNIUSDT,3.095,3.323,3.014,3.286,4689914.24,14612337.51186,68584
1775433600000,2026-04-06,UNIUSDT,3.148,3.211,3.072,3.096,2680181.44,8486139.28154,38413
1775347200000,2026-04-05,UNIUSDT,3.126,3.161,3.057,3.148,2233472.91,6918213.50819,35472
1775260800000,2026-04-04,UNIUSDT,3.172,3.181,3.098,3.125,2401634.49,7528614.46274,38168
1775174400000,2026-04-03,UNIUSDT,3.175,3.256,3.146,3.171,3057328.37,9776738.10521,49666
1775088000000,2026-04-02,UNIUSDT,3.567,3.597,3.088,3.174,16500703.13,52892837.14343,220327
1775001600000,2026-04-01,UNIUSDT,3.544,3.672,3.535,3.567,2593828.74,9342579.22771,50135
1774915200000,2026-03-31,UNIUSDT,3.481,3.591,3.45,3.545,2443917.2,8605858.67412,53534
1774828800000,2026-03-30,UNIUSDT,3.356,3.577,3.353,3.48,2069714.93,7230580.16617,53064
1774742400000,2026-03-29,UNIUSDT,3.383,3.428,3.259,3.355,1409374.94,4738698.47282,35821
1774656000000,2026-03-28,UNIUSDT,3.389,3.451,3.355,3.384,1212374.99,4116941.19292,26146
1774569600000,2026-03-27,UNIUSDT,3.527,3.557,3.365,3.388,2622014.94,8997037.16534,52092
1774483200000,2026-03-26,UNIUSDT,3.708,3.719,3.483,3.528,2554541.5,9113457.23961,51271
1774310400000,2026-03-24,UNIUSDT,3.587,3.623,3.528,3.609,1978220.35,7074799.91731,44396
1774224000000,2026-03-23,UNIUSDT,3.472,3.682,3.437,3.587,3640689.59,12992195.76163,81565
1773878400000,2026-03-19,UNIUSDT,3.681,3.721,3.501,3.579,2863578.22,10282434.7804,72382
1773792000000,2026-03-18,UNIUSDT,3.957,4.015,3.616,3.681,4707768.64,17724027.65357,94836
1773705600000,2026-03-17,UNIUSDT,4.156,4.176,3.943,3.957,3737962.36,15081086.82835,85465
1773619200000,2026-03-16,UNIUSDT,4.069,4.195,3.971,4.157,6593194.64,26950762.43208,143185
1773532800000,2026-03-15,UNIUSDT,3.946,4.114,3.916,4.069,1658425.57,6619652.03778,47851
1773446400000,2026-03-14,UNIUSDT,4.004,4.021,3.905,3.948,1788492.47,7072825.13123,44507
1773360000000,2026-03-13,UNIUSDT,3.917,4.209,3.906,4.004,4052958.54,16473004.88511,108988
1773273600000,2026-03-12,UNIUSDT,3.899,3.95,3.842,3.918,2267387.28,8836754.81742,60883
1773187200000,2026-03-11,UNIUSDT,3.843,3.967,3.804,3.898,2322143.65,9014321.35285,63584
1773100800000,2026-03-10,UNIUSDT,3.86,3.998,3.824,3.843,3621984.16,14177101.89585,83028
1773014400000,2026-03-09,UNIUSDT,3.66,3.992,3.659,3.861,3847675.82,14805624.01499,116969
1772928000000,2026-03-08,UNIUSDT,3.772,3.797,3.61,3.661,2091940.52,7754322.09317,57156
1772841600000,2026-03-07,UNIUSDT,3.849,3.868,3.736,3.771,1421054.1,5410196.78832,35311
1772755200000,2026-03-06,UNIUSDT,3.97,4.021,3.809,3.848,3188168.79,12481598.4115,70808
1772668800000,2026-03-05,UNIUSDT,3.976,4.095,3.927,3.97,3674506.12,14722019.21265,88373
1772582400000,2026-03-04,UNIUSDT,3.913,4.089,3.859,3.977,4832286.91,19264480.35461,122087
1772496000000,2026-03-03,UNIUSDT,3.929,3.941,3.75,3.912,3225356.37,12451930.97257,100804
1772409600000,2026-03-02,UNIUSDT,3.749,4.048,3.715,3.929,4560961.55,17670727.94641,124833
1772323200000,2026-03-01,UNIUSDT,3.811,3.974,3.667,3.748,4373482.98,16649779.35655,119656
1772236800000,2026-02-28,UNIUSDT,3.741,3.893,3.537,3.811,4860760.45,17853403.3364,128689
1772150400000,2026-02-27,UNIUSDT,3.879,3.945,3.672,3.742,3948245.64,15028141.40169,104555
1772064000000,2026-02-26,UNIUSDT,4.055,4.093,3.714,3.879,6385355.96,25075041.0143,156468
1771977600000,2026-02-25,UNIUSDT,3.338,4.294,3.33,4.055,13718509.33,52703986.6494,313309
