https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XLM,Volume USDT,tradecount
1777161600000,2026-04-26,XLMUSDT,0.1697,0.1727,0.168,0.1708,50390716.0,8599677.8785,53848
1777075200000,2026-04-25,XLMUSDT,0.173,0.1747,0.1696,0.1698,32809728.0,5659534.0194,38385
1776988800000,2026-04-24,XLMUSDT,0.1754,0.177,0.1721,0.1729,42934231.0,7495881.214,57337
1776902400000,2026-04-23,XLMUSDT,0.1767,0.1794,0.174,0.1755,49178951.0,8693856.1082,77662
1776816000000,2026-04-22,XLMUSDT,0.1791,0.1825,0.1763,0.1766,53931817.0,9695003.2398,78729
1776729600000,2026-04-21,XLMUSDT,0.1739,0.1847,0.1729,0.1791,73845656.0,13207866.0765,116953
1776643200000,2026-04-20,XLMUSDT,0.1667,0.1752,0.1664,0.1739,45960201.0,7825341.2564,75424
1776556800000,2026-04-19,XLMUSDT,0.1704,0.1726,0.166,0.1666,40349927.0,6848454.589,70100
1776470400000,2026-04-18,XLMUSDT,0.1741,0.1764,0.1675,0.1704,47144337.0,8086180.2476,76530
1776384000000,2026-04-17,XLMUSDT,0.1693,0.1772,0.1643,0.1742,63552142.0,10880607.2217,93597
1776297600000,2026-04-16,XLMUSDT,0.1579,0.1696,0.1574,0.1693,77916794.0,12717313.9157,100710
1776038400000,2026-04-13,XLMUSDT,0.1503,0.1565,0.1498,0.1564,31010391.0,4735166.571,48014
1775952000000,2026-04-12,XLMUSDT,0.1536,0.1541,0.1501,0.1502,24591446.0,3728493.7621,40876
1775865600000,2026-04-11,XLMUSDT,0.1552,0.1569,0.153,0.1535,26745287.0,4130285.3273,36989
1775779200000,2026-04-10,XLMUSDT,0.1548,0.1573,0.1527,0.1552,42145899.0,6542521.6262,59409
1775692800000,2026-04-09,XLMUSDT,0.1577,0.1588,0.1525,0.1548,75310087.0,11664824.9169,76871
1775606400000,2026-04-08,XLMUSDT,0.1634,0.1653,0.1575,0.1578,45759463.0,7412553.3595,68285
1775520000000,2026-04-07,XLMUSDT,0.1556,0.1647,0.1535,0.1635,57738207.0,9053663.2254,82800
1775433600000,2026-04-06,XLMUSDT,0.1628,0.1642,0.1551,0.1557,70673549.0,11282637.3572,89597
1775347200000,2026-04-05,XLMUSDT,0.1619,0.1628,0.1573,0.1627,41224179.0,6573194.5925,55909
1775260800000,2026-04-04,XLMUSDT,0.163,0.1633,0.1606,0.1619,20841373.0,3369594.3264,39131
1775174400000,2026-04-03,XLMUSDT,0.163,0.1666,0.1618,0.163,22061850.0,3621890.4159,43861
1775088000000,2026-04-02,XLMUSDT,0.1693,0.1711,0.1602,0.163,42312549.0,6945041.2137,79782
