https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USDT,tradecount
1777161600000,2026-04-26,ZECUSDT,358.87,362.88,348.75,355.09,70010.349,24942785.22059,106928
1777075200000,2026-04-25,ZECUSDT,359.24,361.63,351.28,358.88,74882.496,26728450.11854,115056
1776988800000,2026-04-24,ZECUSDT,342.64,367.18,335.11,359.28,192802.338,67673431.67404,280421
1776902400000,2026-04-23,ZECUSDT,316.51,349.25,311.34,342.56,228036.929,74812599.73068,314789
1776816000000,2026-04-22,ZECUSDT,316.77,331.64,313.81,316.52,165306.379,53106694.71792,234540
1776729600000,2026-04-21,ZECUSDT,312.15,335.82,306.46,316.75,231692.676,74524413.76013,301384
1776643200000,2026-04-20,ZECUSDT,301.47,322.98,301.14,312.19,147070.485,45929243.5216,193692
1776556800000,2026-04-19,ZECUSDT,323.12,337.89,299.58,301.41,263291.399,82956714.29591,320221
1776470400000,2026-04-18,ZECUSDT,328.9,341.5,318.29,323.15,128469.039,42411530.55282,183454
1776384000000,2026-04-17,ZECUSDT,340.17,356.21,322.7,328.9,238234.398,80403412.5429,332401
1776297600000,2026-04-16,ZECUSDT,345.86,349.44,332.73,340.17,201245.786,68659926.3626,263386
1776038400000,2026-04-13,ZECUSDT,362.3,386.25,342.8,368.08,341505.166,124007503.35498,421127
1775952000000,2026-04-12,ZECUSDT,370.74,374.3,355.59,362.27,202409.958,73729876.80342,288953
1775865600000,2026-04-11,ZECUSDT,375.46,382.19,364.69,370.7,183678.234,68636329.09728,202486
1775779200000,2026-04-10,ZECUSDT,366.72,394.14,363.48,375.46,309926.979,116752175.73726,347633
1775692800000,2026-04-09,ZECUSDT,323.51,388.82,308.38,366.68,527025.881,182737423.03897,557413
1775606400000,2026-04-08,ZECUSDT,320.72,340.16,312.66,323.48,396281.251,129617859.872,451979
1775520000000,2026-04-07,ZECUSDT,251.53,325.41,250.54,320.78,545541.347,155067677.22889,569141
1775433600000,2026-04-06,ZECUSDT,245.1,260.78,244.99,251.54,205209.246,52110113.43039,224206
1775347200000,2026-04-05,ZECUSDT,251.16,251.44,236.89,245.08,121927.911,29611930.95588,142854
1775260800000,2026-04-04,ZECUSDT,234.42,253.93,233.65,251.14,136962.509,33698293.21927,154877
1775174400000,2026-04-03,ZECUSDT,240.85,241.4,232.15,234.41,89658.514,21195908.31049,104977
1775088000000,2026-04-02,ZECUSDT,251.43,255.6,231.3,240.84,276951.478,66329724.92017,259941
1775001600000,2026-04-01,ZECUSDT,248.48,258.48,232.95,251.4,303383.219,75190236.48469,364129
1774915200000,2026-03-31,ZECUSDT,225.75,257.86,223.51,248.51,472716.269,115676540.44265,452718
