https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1697760000000,2023-10-20,ARBUSD,3.775,3.857,3.7,3.852,1665.81,6243.93924,79
1697673600000,2023-10-19,ARBUSD,3.811,3.833,3.71,3.764,10724.79,40395.43772,402
1697587200000,2023-10-18,ARBUSD,3.813,3.914,3.79,3.813,2168.01,8339.93476,227
1697500800000,2023-10-17,ARBUSD,3.954,4.023,3.8,3.842,11656.48,45728.56988,336
1697414400000,2023-10-16,ARBUSD,3.899,4.05,3.868,3.973,8045.42,31783.74626,267
1697328000000,2023-10-15,ARBUSD,3.87,3.934,3.862,3.892,4473.2,17440.94365,162
1697241600000,2023-10-14,ARBUSD,3.855,3.92,3.855,3.879,3860.43,15014.96712,138
1697155200000,2023-10-13,ARBUSD,3.809,3.896,3.805,3.867,4138.25,15933.78216,199
1697068800000,2023-10-12,ARBUSD,3.84,3.85,3.73,3.791,5222.11,19883.73681,362
1696982400000,2023-10-11,ARBUSD,3.96,3.96,3.8,3.85,6365.41,24700.2917,650
1696896000000,2023-10-10,ARBUSD,3.88,3.96,3.85,3.95,5715.43,22460.721,544
1696809600000,2023-10-09,ARBUSD,4.0,4.11,3.73,3.89,26613.1,103703.6619,734
1696723200000,2023-10-08,ARBUSD,4.01,4.04,3.97,4.0,7143.47,28639.1593,271
1696636800000,2023-10-07,ARBUSD,4.03,4.05,3.97,4.01,3409.63,13663.563,228
1696550400000,2023-10-06,ARBUSD,4.0,4.06,3.98,4.02,3913.75,15733.6584,273
1696464000000,2023-10-05,ARBUSD,4.04,4.07,3.97,3.99,7873.99,31805.0432,353
1696377600000,2023-10-04,ARBUSD,4.12,4.12,3.97,4.06,9404.78,38092.3238,742
1696291200000,2023-10-03,ARBUSD,4.28,4.32,4.13,4.13,5150.81,21852.4866,443
1696204800000,2023-10-02,ARBUSD,4.44,4.47,4.2,4.28,13369.24,58111.1535,741
1696118400000,2023-10-01,ARBUSD,4.24,4.49,4.24,4.44,8550.5,37496.4576,528
1696032000000,2023-09-30,ARBUSD,4.23,4.29,4.22,4.25,2642.68,11242.9501,162
1695945600000,2023-09-29,ARBUSD,4.23,4.28,4.2,4.25,5175.85,21937.9219,326
1695859200000,2023-09-28,ARBUSD,4.14,4.26,4.1,4.22,9790.21,40982.2561,442
1695772800000,2023-09-27,ARBUSD,4.17,4.24,4.09,4.15,8412.19,35006.0826,373
1695686400000,2023-09-26,ARBUSD,4.1,4.16,4.08,4.15,4879.43,20082.093,274
