https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DASH,Volume USDT,tradecount
1777161600000,2026-04-26,DASHUSDT,36.13,37.1,35.86,36.27,126039.485,4606651.5972,21506
1777075200000,2026-04-25,DASHUSDT,36.61,36.69,35.74,36.15,87184.508,3160511.04425,16274
1776988800000,2026-04-24,DASHUSDT,36.5,37.39,35.39,36.62,255941.065,9373296.67388,49441
1776902400000,2026-04-23,DASHUSDT,35.4,36.73,34.52,36.5,262473.319,9316403.9776,39327
1776816000000,2026-04-22,DASHUSDT,36.66,37.61,35.34,35.36,287738.385,10519946.64997,49975
1776729600000,2026-04-21,DASHUSDT,34.24,37.19,34.11,36.64,430657.399,15339446.09539,89432
1776643200000,2026-04-20,DASHUSDT,33.54,34.78,33.26,34.23,181836.402,6199176.32771,35192
1776556800000,2026-04-19,DASHUSDT,34.53,35.91,33.33,33.52,280377.18,9657982.89489,54613
1776470400000,2026-04-18,DASHUSDT,36.85,37.4,34.16,34.53,202589.096,7242499.20961,43787
1776384000000,2026-04-17,DASHUSDT,36.94,38.19,36.25,36.85,282104.863,10479173.44986,53727
1776297600000,2026-04-16,DASHUSDT,38.02,38.58,36.35,36.95,320850.001,11968435.76989,82626
1776038400000,2026-04-13,DASHUSDT,40.9,43.61,39.59,41.38,507896.855,20990547.66261,100820
1775952000000,2026-04-12,DASHUSDT,46.24,47.85,40.7,40.9,810992.236,35043304.70475,193745
1775865600000,2026-04-11,DASHUSDT,45.75,47.93,43.07,46.24,769357.442,35185795.55719,196776
1775779200000,2026-04-10,DASHUSDT,35.97,46.29,35.59,45.75,1352255.406,56681312.54807,305450
1775692800000,2026-04-09,DASHUSDT,32.15,37.76,31.56,35.98,399608.604,14082575.44883,90031
1775606400000,2026-04-08,DASHUSDT,33.6,33.95,31.88,32.15,421444.879,13881876.37101,78343
1775520000000,2026-04-07,DASHUSDT,30.05,34.2,29.92,33.6,231997.222,7430619.34882,37317
1775433600000,2026-04-06,DASHUSDT,30.43,31.26,29.9,30.06,141278.681,4343844.21225,18247
1775347200000,2026-04-05,DASHUSDT,30.84,31.02,29.75,30.43,104492.022,3158139.97509,17568
1775260800000,2026-04-04,DASHUSDT,29.86,30.85,29.56,30.85,131227.66,3945727.59874,19504
1775174400000,2026-04-03,DASHUSDT,30.16,30.6,29.74,29.87,82018.64,2471368.13666,13985
1775088000000,2026-04-02,DASHUSDT,31.68,31.99,29.31,30.16,267086.402,8060478.2657,53842
1775001600000,2026-04-01,DASHUSDT,32.69,33.15,31.55,31.65,143623.112,4650086.82676,24529
1774915200000,2026-03-31,DASHUSDT,32.07,33.33,31.73,32.71,236887.823,7724543.26631,38444
1774828800000,2026-03-30,DASHUSDT,31.85,33.03,31.65,32.06,121065.821,3928495.73961,23693
1774742400000,2026-03-29,DASHUSDT,31.7,32.37,30.82,31.81,66361.217,2106699.91244,14269
1774656000000,2026-03-28,DASHUSDT,31.65,32.69,31.14,31.71,68429.636,2178316.9354,13854
1774569600000,2026-03-27,DASHUSDT,32.31,32.88,31.4,31.65,87221.539,2792598.77457,20933
1774483200000,2026-03-26,DASHUSDT,34.13,34.41,32.0,32.31,87144.781,2874603.59414,18493
1774310400000,2026-03-24,DASHUSDT,34.52,35.1,33.46,34.36,173866.016,5956135.43076,34856
1774224000000,2026-03-23,DASHUSDT,32.17,34.9,32.12,34.51,300480.863,10143693.8743,61448
1773878400000,2026-03-19,DASHUSDT,32.61,32.88,31.13,31.37,149078.272,4735476.52638,25362
1773792000000,2026-03-18,DASHUSDT,35.25,35.85,32.0,32.61,233464.287,7920615.79108,43881
1773705600000,2026-03-17,DASHUSDT,35.93,36.37,34.35,35.25,265475.816,9362877.52984,50213
1773619200000,2026-03-16,DASHUSDT,33.83,37.05,33.65,35.93,397766.151,14061590.98763,72216
1773532800000,2026-03-15,DASHUSDT,32.67,34.16,32.36,33.82,165856.377,5559279.23956,32829
1773446400000,2026-03-14,DASHUSDT,32.34,33.31,32.21,32.68,80306.334,2617227.35156,15346
1773360000000,2026-03-13,DASHUSDT,32.89,34.2,32.09,32.35,231130.128,7695182.87783,38927
1773273600000,2026-03-12,DASHUSDT,32.45,33.0,31.9,32.88,102440.72,3333418.51325,18731
1773187200000,2026-03-11,DASHUSDT,32.35,32.8,31.66,32.45,103116.403,3319166.70834,20763
1773100800000,2026-03-10,DASHUSDT,32.1,33.53,32.04,32.34,158648.096,5217834.01206,32047
