https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FIL,Volume USDT,tradecount
1777161600000,2026-04-26,FILUSDT,0.937,0.957,0.932,0.943,3579619.93,3385479.39124,17848
1777075200000,2026-04-25,FILUSDT,0.941,0.957,0.929,0.938,4202697.24,3974786.26965,18502
1776988800000,2026-04-24,FILUSDT,0.93,0.954,0.921,0.941,4200721.05,3941886.71085,21653
1776902400000,2026-04-23,FILUSDT,0.928,0.936,0.904,0.93,4816056.14,4439818.60495,25088
1776816000000,2026-04-22,FILUSDT,0.927,0.963,0.924,0.927,5411654.69,5119982.79511,25591
1776729600000,2026-04-21,FILUSDT,0.923,0.938,0.907,0.927,4763246.12,4400614.41703,22898
1776643200000,2026-04-20,FILUSDT,0.908,0.936,0.906,0.923,5387114.37,4970395.0068,27698
1776556800000,2026-04-19,FILUSDT,0.942,0.944,0.899,0.907,8152822.04,7534730.12074,38061
1776470400000,2026-04-18,FILUSDT,0.982,0.995,0.939,0.942,8128705.96,7839552.45562,34131
1776384000000,2026-04-17,FILUSDT,0.998,1.014,0.971,0.983,13967941.01,13902022.80023,50900
1776297600000,2026-04-16,FILUSDT,0.918,1.021,0.909,0.998,18882426.06,18518020.88437,78897
1776038400000,2026-04-13,FILUSDT,0.858,0.928,0.856,0.919,7680726.01,6823912.17583,32387
1775952000000,2026-04-12,FILUSDT,0.9,0.9,0.853,0.858,6341864.46,5511643.72179,25567
1775865600000,2026-04-11,FILUSDT,0.915,0.924,0.887,0.9,5640774.81,5098741.85611,24446
1775779200000,2026-04-10,FILUSDT,0.904,0.918,0.894,0.915,5570794.94,5055362.22137,24937
1775692800000,2026-04-09,FILUSDT,0.884,0.926,0.872,0.905,5388345.43,4814435.01582,29075
1775606400000,2026-04-08,FILUSDT,0.916,0.923,0.881,0.884,7256205.88,6560306.98767,32049
1775520000000,2026-04-07,FILUSDT,0.858,0.929,0.842,0.916,8795395.36,7706329.59181,40215
1775433600000,2026-04-06,FILUSDT,0.845,0.908,0.841,0.858,11728696.77,10286137.25015,44860
1775347200000,2026-04-05,FILUSDT,0.839,0.855,0.812,0.845,5477063.88,4555951.42532,22407
1775260800000,2026-04-04,FILUSDT,0.835,0.855,0.833,0.839,3367919.92,2832222.75571,13047
1775174400000,2026-04-03,FILUSDT,0.817,0.855,0.817,0.835,6461293.2,5412039.19257,22104
1775088000000,2026-04-02,FILUSDT,0.838,0.845,0.799,0.817,7115042.4,5799903.09102,31890
1775001600000,2026-04-01,FILUSDT,0.832,0.858,0.822,0.837,5515004.54,4646657.81842,23505
1774915200000,2026-03-31,FILUSDT,0.816,0.844,0.812,0.832,6325645.62,5241442.7916,29931
1774828800000,2026-03-30,FILUSDT,0.801,0.863,0.8,0.816,8571077.45,7142482.47291,39730
1774742400000,2026-03-29,FILUSDT,0.8,0.818,0.775,0.802,7153604.25,5734012.52979,24205
1774656000000,2026-03-28,FILUSDT,0.839,0.842,0.793,0.801,9155947.94,7493811.71593,33799
1774569600000,2026-03-27,FILUSDT,0.869,0.88,0.831,0.839,10127815.7,8603261.17231,43985
1774483200000,2026-03-26,FILUSDT,0.928,0.932,0.862,0.869,9408166.65,8369972.51555,37317
1774310400000,2026-03-24,FILUSDT,0.923,0.949,0.902,0.923,13438011.03,12405058.14651,58278
1774224000000,2026-03-23,FILUSDT,0.849,0.943,0.838,0.923,19139571.41,17042775.22932,76428
1773878400000,2026-03-19,FILUSDT,0.925,0.938,0.877,0.895,7294144.35,6581896.56705,33642
1773792000000,2026-03-18,FILUSDT,0.969,0.987,0.903,0.925,9961710.96,9366503.09944,49606
1773705600000,2026-03-17,FILUSDT,0.99,0.993,0.953,0.969,10741632.39,10434676.94077,46671
1773619200000,2026-03-16,FILUSDT,0.895,1.015,0.888,0.99,23636257.01,22482253.62755,90474
1773532800000,2026-03-15,FILUSDT,0.882,0.903,0.868,0.895,6672251.55,5917169.1704,28957
1773446400000,2026-03-14,FILUSDT,0.868,0.914,0.861,0.883,9406079.43,8308904.48777,34463
1773360000000,2026-03-13,FILUSDT,0.878,0.906,0.861,0.869,14133515.79,12544751.17936,50128
1773273600000,2026-03-12,FILUSDT,0.878,0.881,0.85,0.877,12897177.26,11178262.4455,43947
1773187200000,2026-03-11,FILUSDT,0.866,0.914,0.847,0.878,20260219.78,17812140.00081,70540
1773100800000,2026-03-10,FILUSDT,0.939,0.956,0.853,0.866,22034219.94,19770879.64483,98257
1773014400000,2026-03-09,FILUSDT,0.934,0.98,0.931,0.939,10206684.05,9673187.24866,71577
1772928000000,2026-03-08,FILUSDT,0.952,0.957,0.92,0.934,6134005.47,5755600.97952,35400
1772841600000,2026-03-07,FILUSDT,0.978,0.984,0.945,0.952,3713297.91,3577974.66888,20230
1772755200000,2026-03-06,FILUSDT,1.011,1.023,0.964,0.978,7957177.63,7950723.63563,51953
1772668800000,2026-03-05,FILUSDT,1.025,1.043,0.994,1.011,8744172.47,8928606.47702,51244
1772582400000,2026-03-04,FILUSDT,1.001,1.037,0.992,1.025,12223345.93,12453683.61655,62372
1772496000000,2026-03-03,FILUSDT,0.988,1.013,0.971,1.0,9311137.17,9224634.09126,56029
1772409600000,2026-03-02,FILUSDT,0.965,1.029,0.963,0.987,13175544.12,13135135.13081,69051
1772323200000,2026-03-01,FILUSDT,1.005,1.033,0.942,0.964,12821592.93,12617034.83203,63908
