https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ICP,Volume USDT,tradecount
1777161600000,2026-04-26,ICPUSDT,2.433,2.465,2.426,2.445,612617.95,1498655.25602,12924
1777075200000,2026-04-25,ICPUSDT,2.454,2.487,2.411,2.434,724251.08,1771715.77557,13143
1776988800000,2026-04-24,ICPUSDT,2.486,2.499,2.445,2.456,862677.48,2130953.43491,17742
1776902400000,2026-04-23,ICPUSDT,2.491,2.499,2.435,2.486,1017303.73,2509640.78436,21489
1776816000000,2026-04-22,ICPUSDT,2.464,2.566,2.455,2.49,1581141.14,3999385.97349,37391
1776729600000,2026-04-21,ICPUSDT,2.46,2.505,2.41,2.464,1099861.02,2706506.5346,23943
1776643200000,2026-04-20,ICPUSDT,2.408,2.498,2.405,2.459,1223868.83,2996087.44169,21278
1776556800000,2026-04-19,ICPUSDT,2.488,2.497,2.402,2.408,1758295.1,4315474.72431,32908
1776470400000,2026-04-18,ICPUSDT,2.614,2.638,2.481,2.489,1351932.65,3457877.61761,28751
1776384000000,2026-04-17,ICPUSDT,2.653,2.695,2.551,2.614,2120685.06,5574344.75426,42997
1776297600000,2026-04-16,ICPUSDT,2.498,2.671,2.493,2.654,2302854.98,5934554.22531,40537
1776038400000,2026-04-13,ICPUSDT,2.415,2.534,2.409,2.514,1401223.62,3431548.49106,22852
1775952000000,2026-04-12,ICPUSDT,2.535,2.539,2.408,2.414,1609998.09,3946161.44812,22764
1775865600000,2026-04-11,ICPUSDT,2.555,2.573,2.507,2.534,989569.52,2508228.62866,17471
1775779200000,2026-04-10,ICPUSDT,2.542,2.579,2.482,2.555,1810448.31,4581401.65588,29606
1775692800000,2026-04-09,ICPUSDT,2.43,2.579,2.404,2.541,2423943.55,6051011.9854,44162
1775606400000,2026-04-08,ICPUSDT,2.455,2.639,2.428,2.43,4274220.66,10862664.35015,73091
1775520000000,2026-04-07,ICPUSDT,2.296,2.49,2.271,2.456,2417732.72,5685825.89225,38044
1775433600000,2026-04-06,ICPUSDT,2.296,2.387,2.285,2.297,1850077.56,4330233.38722,25839
1775347200000,2026-04-05,ICPUSDT,2.297,2.309,2.246,2.295,1537303.45,3494702.96238,16250
1775260800000,2026-04-04,ICPUSDT,2.287,2.328,2.278,2.296,1149116.51,2646528.65988,14848
1775174400000,2026-04-03,ICPUSDT,2.247,2.326,2.236,2.287,1800791.9,4121045.66941,22943
1775088000000,2026-04-02,ICPUSDT,2.272,2.301,2.195,2.247,1789111.41,3993797.66103,29641
1775001600000,2026-04-01,ICPUSDT,2.307,2.355,2.263,2.272,1910777.61,4409592.14938,29254
1774915200000,2026-03-31,ICPUSDT,2.247,2.333,2.241,2.308,1815371.51,4129310.62924,30824
1774828800000,2026-03-30,ICPUSDT,2.2,2.288,2.197,2.246,1827603.28,4112540.08583,29454
1774742400000,2026-03-29,ICPUSDT,2.22,2.247,2.148,2.199,1610944.88,3565928.02738,20454
1774656000000,2026-03-28,ICPUSDT,2.224,2.303,2.201,2.221,1465812.19,3301146.43869,21462
1774569600000,2026-03-27,ICPUSDT,2.304,2.327,2.204,2.225,1774719.89,3996492.88151,33681
1774483200000,2026-03-26,ICPUSDT,2.414,2.425,2.26,2.303,2364905.55,5492087.22586,41405
1774310400000,2026-03-24,ICPUSDT,2.413,2.421,2.343,2.398,2129259.21,5090583.10687,36791
1774224000000,2026-03-23,ICPUSDT,2.345,2.447,2.321,2.413,2840014.18,6800081.71719,57187
1773878400000,2026-03-19,ICPUSDT,2.567,2.582,2.455,2.494,2128066.36,5347266.13179,32748
1773792000000,2026-03-18,ICPUSDT,2.686,2.73,2.551,2.567,3210385.06,8427202.06352,53160
1773705600000,2026-03-17,ICPUSDT,2.773,2.805,2.68,2.685,3222875.68,8785871.83229,55108
1773619200000,2026-03-16,ICPUSDT,2.672,2.795,2.627,2.773,4997700.45,13531768.49039,78604
1773532800000,2026-03-15,ICPUSDT,2.707,2.717,2.644,2.672,2913129.27,7799758.18002,50819
1773446400000,2026-03-14,ICPUSDT,2.608,2.722,2.574,2.707,3060890.19,8091452.85875,58663
1773360000000,2026-03-13,ICPUSDT,2.714,2.74,2.596,2.609,3956025.65,10517424.15907,88056
1773273600000,2026-03-12,ICPUSDT,2.683,2.724,2.533,2.714,5723984.33,14982193.70429,113593
1773187200000,2026-03-11,ICPUSDT,2.385,2.949,2.354,2.683,18989893.4,50635291.89554,453734
1773100800000,2026-03-10,ICPUSDT,2.453,2.55,2.377,2.385,2690553.8,6685249.27998,58309
1773014400000,2026-03-09,ICPUSDT,2.424,2.529,2.416,2.454,2461560.92,6102834.12838,60477
1772928000000,2026-03-08,ICPUSDT,2.448,2.499,2.383,2.424,2125774.01,5170445.73794,45394
1772841600000,2026-03-07,ICPUSDT,2.487,2.501,2.43,2.448,1676406.76,4132617.17361,33428
1772755200000,2026-03-06,ICPUSDT,2.511,2.643,2.435,2.486,3477477.83,8831837.28296,70352
1772668800000,2026-03-05,ICPUSDT,2.51,2.587,2.468,2.512,2711669.2,6875552.66531,56253
1772582400000,2026-03-04,ICPUSDT,2.463,2.641,2.457,2.51,5622143.25,14281934.69568,100018
1772496000000,2026-03-03,ICPUSDT,2.397,2.476,2.34,2.464,3212102.35,7723265.58559,64249
1772409600000,2026-03-02,ICPUSDT,2.369,2.55,2.341,2.397,3785540.36,9188005.13609,75362
1772323200000,2026-03-01,ICPUSDT,2.442,2.547,2.34,2.368,4128490.64,10042202.55462,81331
1772236800000,2026-02-28,ICPUSDT,2.491,2.506,2.274,2.442,5146023.42,12227238.26246,94579
1772150400000,2026-02-27,ICPUSDT,2.43,2.737,2.408,2.491,7948772.58,20244034.75339,117213
1772064000000,2026-02-26,ICPUSDT,2.432,2.457,2.32,2.43,3987734.52,9591063.2518,68682
1771977600000,2026-02-25,ICPUSDT,2.118,2.591,2.104,2.432,7603713.22,17816894.34297,107857
1771891200000,2026-02-24,ICPUSDT,2.087,2.139,2.015,2.117,3071382.62,6387327.2183,44738
1771804800000,2026-02-23,ICPUSDT,2.156,2.157,2.014,2.087,4211651.2,8709174.26328,58857
1771718400000,2026-02-22,ICPUSDT,2.199,2.218,2.096,2.155,2996919.25,6446199.26494,37989
1771632000000,2026-02-21,ICPUSDT,2.186,2.283,2.152,2.199,3583788.68,7992683.24414,49606
1771545600000,2026-02-20,ICPUSDT,2.179,2.211,2.121,2.185,3432871.41,7438310.96061,62479
1771459200000,2026-02-19,ICPUSDT,2.238,2.26,2.135,2.18,2860124.34,6269324.20368,44723
1771372800000,2026-02-18,ICPUSDT,2.381,2.386,2.226,2.238,2380805.77,5537699.22642,39583
1771286400000,2026-02-17,ICPUSDT,2.42,2.437,2.342,2.381,1880130.55,4500349.34588,40332
1771200000000,2026-02-16,ICPUSDT,2.414,2.448,2.341,2.419,2243539.56,5366280.3451,40552
1771113600000,2026-02-15,ICPUSDT,2.548,2.557,2.36,2.415,3269888.06,8049671.06418,53853
1771027200000,2026-02-14,ICPUSDT,2.398,2.602,2.378,2.548,3642071.35,9042252.31487,60282
1770940800000,2026-02-13,ICPUSDT,2.352,2.414,2.281,2.397,3049258.5,7136333.8669,49868
1770854400000,2026-02-12,ICPUSDT,2.337,2.474,2.293,2.352,3604977.17,8600057.37984,59822
1770768000000,2026-02-11,ICPUSDT,2.401,2.417,2.282,2.337,3184152.71,7447348.36816,59372
1770681600000,2026-02-10,ICPUSDT,2.424,2.442,2.332,2.401,2273197.66,5401158.05112,45142
1770595200000,2026-02-09,ICPUSDT,2.432,2.473,2.337,2.424,3076464.76,7445140.48256,60815
1770508800000,2026-02-08,ICPUSDT,2.496,2.506,2.399,2.432,3217210.58,7888060.47725,57334
1770422400000,2026-02-07,ICPUSDT,2.508,2.564,2.394,2.496,4429810.91,10981809.61386,103065
1770336000000,2026-02-06,ICPUSDT,2.242,2.576,2.0,2.506,8804953.67,20512518.41661,160477
1770249600000,2026-02-05,ICPUSDT,2.627,2.649,2.203,2.242,7501861.61,18048830.85076,148937
1770163200000,2026-02-04,ICPUSDT,2.643,2.792,2.577,2.626,4126227.8,11022125.4005,83865
1770076800000,2026-02-03,ICPUSDT,2.7,2.773,2.547,2.644,4649595.52,12409630.64123,92820
1769990400000,2026-02-02,ICPUSDT,2.623,2.847,2.546,2.701,6367169.98,17033036.95331,130410
1769904000000,2026-02-01,ICPUSDT,2.733,2.777,2.559,2.623,4135884.46,11128016.13042,97845
1769817600000,2026-01-31,ICPUSDT,3.007,3.02,2.472,2.733,7938529.06,21682328.18573,216039
1769731200000,2026-01-30,ICPUSDT,3.102,3.12,2.926,3.007,4085745.41,12341034.98086,114400
1769644800000,2026-01-29,ICPUSDT,3.21,3.214,3.009,3.102,3743650.25,11578277.45052,90537
1769558400000,2026-01-28,ICPUSDT,3.303,3.311,3.183,3.21,2544178.19,8278718.91077,71373
