https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ONT,Volume USDT,tradecount
1777161600000,2026-04-26,ONTUSDT,0.0744,0.07524,0.07151,0.07218,11598721.0,849517.093,16198
1777075200000,2026-04-25,ONTUSDT,0.07798,0.08,0.07427,0.07442,10103039.0,779130.11569,14450
1776988800000,2026-04-24,ONTUSDT,0.07989,0.07993,0.07713,0.07795,14110512.0,1108392.54111,15943
1776902400000,2026-04-23,ONTUSDT,0.07638,0.08063,0.0745,0.07987,20493569.0,1605314.29237,20155
1776816000000,2026-04-22,ONTUSDT,0.0794,0.08094,0.0759,0.07627,17856984.0,1402009.07316,15761
1776729600000,2026-04-21,ONTUSDT,0.07528,0.08117,0.07402,0.07934,31127029.0,2421602.92329,25526
1776643200000,2026-04-20,ONTUSDT,0.07554,0.08138,0.07411,0.07524,23492281.0,1797515.10374,24143
1776556800000,2026-04-19,ONTUSDT,0.08088,0.08109,0.07482,0.07556,17785034.0,1373929.17933,23125
1776470400000,2026-04-18,ONTUSDT,0.07998,0.12,0.07881,0.08099,170386680.0,15071679.19989,171768
1776384000000,2026-04-17,ONTUSDT,0.07605,0.08056,0.0732,0.08002,20676262.0,1604451.40465,17777
1776297600000,2026-04-16,ONTUSDT,0.07673,0.07698,0.07336,0.07602,18982967.0,1422713.8685,15185
1776038400000,2026-04-13,ONTUSDT,0.08238,0.08677,0.0806,0.0821,27172138.0,2259305.61847,35876
1775952000000,2026-04-12,ONTUSDT,0.0863,0.08916,0.08152,0.08245,30777583.0,2627456.10168,40085
1775865600000,2026-04-11,ONTUSDT,0.07903,0.09385,0.07745,0.08632,80813993.0,7040413.81962,105312
1775779200000,2026-04-10,ONTUSDT,0.08142,0.08474,0.07781,0.07902,40106439.0,3239020.9497,45571
1775692800000,2026-04-09,ONTUSDT,0.07644,0.08528,0.07385,0.08143,69156992.0,5525262.5602,76186
1775606400000,2026-04-08,ONTUSDT,0.0841,0.08518,0.07616,0.07643,27074512.0,2181800.59405,26997
1775520000000,2026-04-07,ONTUSDT,0.08423,0.08979,0.08001,0.08412,53420144.0,4440125.84861,55556
1775433600000,2026-04-06,ONTUSDT,0.0917,0.10121,0.08404,0.08423,60605349.0,5611132.67695,74999
1775347200000,2026-04-05,ONTUSDT,0.09674,0.10447,0.08884,0.09161,53782435.0,5122225.43273,81433
1775260800000,2026-04-04,ONTUSDT,0.10787,0.10794,0.09519,0.09676,43105271.0,4330001.91466,75827
1775174400000,2026-04-03,ONTUSDT,0.10792,0.12264,0.09839,0.10782,129415080.0,13930048.85794,211541
1775088000000,2026-04-02,ONTUSDT,0.11173,0.12687,0.09512,0.10788,251644752.0,27926202.18156,357707
1775001600000,2026-04-01,ONTUSDT,0.0831,0.1354,0.07822,0.11177,307674218.0,34362986.38811,404621
1774915200000,2026-03-31,ONTUSDT,0.0855,0.09109,0.0736,0.08304,140119020.0,11304129.86972,158314
