https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ZRX,Volume USDT,tradecount
1777161600000,2026-04-26,ZRXUSDT,0.1137,0.1183,0.1127,0.1165,2770441.0,320887.926,2082
1777075200000,2026-04-25,ZRXUSDT,0.1136,0.1154,0.1109,0.1137,2783091.0,314119.5195,1830
1776988800000,2026-04-24,ZRXUSDT,0.117,0.1182,0.1136,0.1136,3500614.0,405856.307,3604
1776902400000,2026-04-23,ZRXUSDT,0.1105,0.1184,0.1084,0.1171,7989948.0,914901.313,5850
1776816000000,2026-04-22,ZRXUSDT,0.1115,0.114,0.1105,0.1105,2240410.0,251801.3916,2295
1776729600000,2026-04-21,ZRXUSDT,0.1112,0.1126,0.1091,0.1114,2106767.0,233660.1042,2344
1776643200000,2026-04-20,ZRXUSDT,0.1046,0.114,0.1046,0.1112,2826530.0,309309.3899,2920
1776556800000,2026-04-19,ZRXUSDT,0.1087,0.1087,0.1041,0.1046,2988538.0,318198.0202,2684
1776470400000,2026-04-18,ZRXUSDT,0.1128,0.1134,0.1076,0.1087,2758180.0,304514.9775,3065
1776384000000,2026-04-17,ZRXUSDT,0.1117,0.1146,0.1086,0.1127,5440312.0,611310.0791,6678
1776297600000,2026-04-16,ZRXUSDT,0.1084,0.1119,0.108,0.1118,2549894.0,280052.4561,4410
1776038400000,2026-04-13,ZRXUSDT,0.1017,0.1111,0.1012,0.109,4019528.0,428921.5285,3397
1775952000000,2026-04-12,ZRXUSDT,0.1052,0.1054,0.1013,0.1017,1514117.0,156412.6259,1552
1775865600000,2026-04-11,ZRXUSDT,0.1045,0.1067,0.1032,0.1053,2369458.0,248332.3166,2066
1775779200000,2026-04-10,ZRXUSDT,0.1033,0.1062,0.1022,0.1048,2727380.0,284916.6047,2238
1775692800000,2026-04-09,ZRXUSDT,0.1021,0.1047,0.1012,0.1033,3289026.0,339113.6325,2985
1775606400000,2026-04-08,ZRXUSDT,0.106,0.1064,0.1017,0.1021,1779321.0,185886.1682,1743
1775520000000,2026-04-07,ZRXUSDT,0.1032,0.1065,0.0988,0.1061,5379795.0,544882.9871,4599
1775433600000,2026-04-06,ZRXUSDT,0.1022,0.126,0.1022,0.1033,31913909.0,3548824.3555,29902
1775347200000,2026-04-05,ZRXUSDT,0.1035,0.1038,0.0997,0.1022,1550628.0,157015.1177,3201
1775260800000,2026-04-04,ZRXUSDT,0.103,0.1043,0.1017,0.1033,1553407.0,160348.5435,1425
1775174400000,2026-04-03,ZRXUSDT,0.1021,0.1059,0.101,0.1029,2004793.0,207251.4079,1656
1775088000000,2026-04-02,ZRXUSDT,0.1046,0.1055,0.1006,0.1021,3635956.0,371920.9766,2583
1775001600000,2026-04-01,ZRXUSDT,0.1031,0.1079,0.1017,0.1045,3630857.0,382144.2542,2377
1774915200000,2026-03-31,ZRXUSDT,0.0991,0.104,0.0991,0.1033,3906596.0,396577.3421,2573
1774828800000,2026-03-30,ZRXUSDT,0.0989,0.1017,0.0986,0.0991,1938798.0,194619.5077,1368
1774742400000,2026-03-29,ZRXUSDT,0.0995,0.0999,0.0967,0.0986,1219542.0,120336.039,1017
1774656000000,2026-03-28,ZRXUSDT,0.0995,0.1022,0.0974,0.0994,2833231.0,283636.2835,1597
1774569600000,2026-03-27,ZRXUSDT,0.1015,0.102,0.0981,0.0994,2021122.0,202243.0567,1836
1774483200000,2026-03-26,ZRXUSDT,0.1053,0.1064,0.1006,0.1015,2310777.0,238134.5464,1959
1774310400000,2026-03-24,ZRXUSDT,0.1046,0.1071,0.1026,0.1049,5664315.0,594105.4897,3499
1774224000000,2026-03-23,ZRXUSDT,0.0972,0.1049,0.0964,0.1042,4755497.0,478271.3605,4049
1773878400000,2026-03-19,ZRXUSDT,0.1073,0.108,0.1036,0.106,1454967.0,153897.9629,1839
1773792000000,2026-03-18,ZRXUSDT,0.1115,0.1138,0.1056,0.1074,3959674.0,433583.6102,3415
1773705600000,2026-03-17,ZRXUSDT,0.1122,0.1153,0.1099,0.1114,5990373.0,674577.3631,4299
1773619200000,2026-03-16,ZRXUSDT,0.1078,0.1127,0.107,0.1122,3119839.0,344318.9475,2830
1773532800000,2026-03-15,ZRXUSDT,0.1054,0.1084,0.1048,0.1076,1526637.0,162778.2875,1393
1773446400000,2026-03-14,ZRXUSDT,0.1065,0.1072,0.1046,0.1055,1467334.0,155105.0292,1287
1773360000000,2026-03-13,ZRXUSDT,0.1058,0.11,0.1051,0.1066,3507094.0,376683.8733,2829
1773273600000,2026-03-12,ZRXUSDT,0.1052,0.107,0.1034,0.106,2677119.0,280759.0886,2308
1773187200000,2026-03-11,ZRXUSDT,0.107,0.1075,0.1041,0.1054,3823516.0,404935.8442,3392
1773100800000,2026-03-10,ZRXUSDT,0.11,0.1109,0.1065,0.1072,4053664.0,441556.5153,3598
1773014400000,2026-03-09,ZRXUSDT,0.1016,0.1109,0.1015,0.1099,6001666.0,649068.2321,5092
1772928000000,2026-03-08,ZRXUSDT,0.1015,0.1037,0.1002,0.1015,3338567.0,340356.9399,2686
1772841600000,2026-03-07,ZRXUSDT,0.1035,0.1063,0.1002,0.1013,3272735.0,337637.0701,2551
1772755200000,2026-03-06,ZRXUSDT,0.1082,0.1102,0.1028,0.1032,3424592.0,364620.962,3670
1772668800000,2026-03-05,ZRXUSDT,0.1075,0.1102,0.1058,0.1082,4223422.0,456117.7383,4090
1772582400000,2026-03-04,ZRXUSDT,0.1034,0.1098,0.1013,0.1075,4059234.0,426379.6069,4144
1772496000000,2026-03-03,ZRXUSDT,0.1063,0.1065,0.1012,0.1034,3943184.0,409950.2885,3489
1772409600000,2026-03-02,ZRXUSDT,0.1034,0.1102,0.1033,0.1062,8552278.0,912569.8112,8014
1772323200000,2026-03-01,ZRXUSDT,0.1054,0.1088,0.1011,0.1032,4321502.0,455595.1659,4057
1772236800000,2026-02-28,ZRXUSDT,0.102,0.1073,0.0958,0.1055,6763066.0,679412.6299,5947
1772150400000,2026-02-27,ZRXUSDT,0.1088,0.1104,0.0995,0.1021,4297990.0,451313.3737,4088
1772064000000,2026-02-26,ZRXUSDT,0.1135,0.1155,0.1052,0.1088,5172885.0,566644.0701,4842
1771977600000,2026-02-25,ZRXUSDT,0.1034,0.1185,0.1021,0.1134,7605876.0,846728.2157,8221
1771891200000,2026-02-24,ZRXUSDT,0.1019,0.1068,0.1006,0.1034,5476480.0,565637.5651,4489
1771804800000,2026-02-23,ZRXUSDT,0.1068,0.1068,0.0999,0.1019,4964478.0,510127.8386,4239
1771718400000,2026-02-22,ZRXUSDT,0.1105,0.1106,0.1057,0.1069,2245098.0,242189.3153,2304
1771632000000,2026-02-21,ZRXUSDT,0.1117,0.1147,0.1105,0.1106,3652904.0,411317.963,3010
1771545600000,2026-02-20,ZRXUSDT,0.1065,0.1131,0.1035,0.1118,5063880.0,547330.2178,4011
1771459200000,2026-02-19,ZRXUSDT,0.1063,0.1072,0.102,0.1065,4096312.0,429482.9571,3144
1771372800000,2026-02-18,ZRXUSDT,0.1108,0.1151,0.106,0.1064,3666271.0,407390.2177,2603
